task_id,split,category,n_samples,total_variance,mean_dist_to_centroid
0,train,benign,5849,1950.28271484375,42.76898956298828
0,train,malicious_clean,3600,137.13412475585938,10.278858184814453
0,test,benign,1463,1915.45068359375,42.1471061706543
0,test,malicious_clean,900,146.09617614746094,10.592130661010742

1,train,benign,2920,2022.3206787109375,43.928009033203125
1,train,malicious_clean,312,83.80928802490234,8.004032135009766
1,train,malicious_perturbed,1155,604.5758056640625,17.53755760192871
1,test,benign,730,2040.72705078125,44.30925750732422
1,test,malicious_clean,79,79.678466796875,7.651309013366699
1,test,malicious_perturbed,288,644.4835205078125,18.56275177001953

2,train,benign,2254,1538.15234375,35.27188491821289
2,train,malicious_clean,426,88.07076263427734,7.956650733947754
2,train,malicious_perturbed,1706,62.8099365234375,6.8577423095703125
2,test,benign,564,1642.871337890625,37.23860168457031
2,test,malicious_clean,107,99.19054412841797,8.435868263244629
2,test,malicious_perturbed,427,53.657047271728516,6.3543314933776855

3,train,benign,4348,1848.1871337890625,40.88294219970703
3,train,malicious_clean,17,36.67997741699219,5.334533214569092
3,train,malicious_perturbed,21,33.01509475708008,5.306766986846924
3,test,benign,1088,1931.90966796875,42.41124725341797
3,test,malicious_clean,6,45.98064422607422,6.299895763397217
3,test,malicious_perturbed,4,23.604001998901367,4.78120231628418

4,train,benign,827,1491.427001953125,34.611793518066406
4,train,malicious_clean,998,24.12254524230957,4.7418694496154785
4,train,malicious_perturbed,2563,21.821002960205078,4.519554138183594
4,test,benign,207,1439.060791015625,33.48397445678711
4,test,malicious_clean,253,25.234556198120117,4.856504917144775
4,test,malicious_perturbed,638,21.991979598999023,4.544912815093994
