# episode_index, seconds
1,0.001089
2,0.000967
3,0.000874
4,0.000833
5,0.000850
6,0.000781
7,0.000757
8,0.000757
9,0.000793
10,0.000752
11,0.000691
12,0.000734
13,0.000773
14,0.000739
15,0.000740
16,0.000929
17,0.000772
18,0.000730
19,0.000729
20,0.000735
21,0.000759
22,0.000725
23,0.000743
24,0.000732
25,0.000745
26,0.000736
27,0.000727
28,0.000731
29,0.000744
30,0.000736
31,0.000736
32,0.000730
33,0.000750
34,0.000717
35,0.000723
36,0.000709
37,0.000748
38,0.000706
39,0.000726
40,0.000703
41,0.000760
42,0.000713
43,0.000718
44,0.000711
45,0.000754
46,0.000725
47,0.000706
48,0.000723
49,0.000755
50,0.000726
51,0.000714
52,0.000736
53,0.000762
54,0.000720
55,0.000707
56,0.000713
57,0.000745
58,0.000706
59,0.000723
60,0.000723
61,0.000754
62,0.000709
63,0.000721
64,0.000714
65,0.000759
66,0.000710
67,0.000745
68,0.000710
69,0.000735
70,0.000715
71,0.000723
72,0.000717
73,0.000736
74,0.000721
75,0.000701
76,0.000702
77,0.000759
78,0.000708
79,0.000709
80,0.000698
81,0.000761
82,0.000708
83,0.000717
84,0.000708
85,0.000757
86,0.000708
87,0.000705
88,0.000712
89,0.000755
90,0.000716
91,0.000699
92,0.000715
93,0.000750
94,0.000710
95,0.000717
96,0.000718
97,0.000758
98,0.000705
99,0.000711
100,0.000711
101,0.001802
102,0.032160
103,0.027274
104,0.026258
105,0.026532
106,0.026321
107,0.026347
108,0.026262
109,0.026206
110,0.026361
111,0.026023
112,0.052588
113,0.026511
114,0.026529
115,0.026340
116,0.026109
117,0.026380
118,0.026323
119,0.053111
120,0.026389
121,0.026403
122,0.026481
123,0.026517
124,0.026559
125,0.026626
126,0.026403
127,0.026704
128,0.026234
129,0.026373
130,0.026796
131,0.026408
132,0.026348
133,0.026430
134,0.026255
135,0.026544
136,0.026495
137,0.026662
138,0.026243
139,0.026382
140,0.026621
141,0.026554
142,0.026571
143,0.026454
144,0.026762
145,0.026723
146,0.026231
147,0.026731
148,0.026257
149,0.026919
150,0.026197
151,0.026388
152,0.026610
153,0.026304
154,0.026686
155,0.026538
156,0.026739
157,0.026350
