# episode_index, seconds
1,0.004812
2,0.002956
3,0.003461
4,0.003124
5,0.000787
6,0.003429
7,0.001863
8,0.002868
9,0.000764
10,0.000748
11,0.000734
12,0.003390
13,0.002902
14,0.002858
15,0.000754
16,0.003422
17,0.000779
18,0.000746
19,0.000768
20,0.001336
21,0.000783
22,0.003431
23,0.002344
24,0.002886
25,0.002933
26,0.002917
27,0.003409
28,0.001628
29,0.028152
30,0.025990
31,0.025768
32,0.154812
33,0.026303
34,0.103722
35,0.103855
36,0.026126
37,0.026303
38,0.026207
39,0.078276
40,0.052065
41,0.052111
42,0.078044
43,0.026160
44,0.026208
45,0.026370
46,0.026374
47,0.026320
48,0.026133
49,0.078319
50,0.026333
51,0.026413
52,0.026280
53,0.026245
54,0.026485
55,0.026170
56,0.026191
57,0.052285
58,0.026313
59,0.026178
60,0.026297
61,0.026246
62,0.026314
63,0.026219
64,0.026321
65,0.026414
66,0.026172
67,0.026280
68,0.026283
69,0.026451
70,0.028243
71,0.052477
72,0.026322
73,0.026420
74,0.026415
75,0.026235
76,0.026400
77,0.026302
78,0.026428
79,0.026221
80,0.026444
81,0.026460
82,0.026489
83,0.026461
84,0.026429
85,0.052504
86,0.026310
87,0.026445
88,0.026342
89,0.026500
90,0.026317
91,0.026502
92,0.026392
93,0.078754
94,0.026185
95,0.026412
96,0.026436
97,0.026475
98,0.026381
99,0.026371
100,0.026284
101,0.026526
102,0.052502
103,0.026328
104,0.026335
105,0.026402
106,0.078799
107,0.026418
108,0.026460
109,0.026432
110,0.026421
111,0.026444
112,0.026451
113,0.026436
114,0.052662
115,0.026403
116,0.026362
117,0.026525
118,0.026351
119,0.026272
120,0.026319
121,0.052624
122,0.026180
123,0.026474
124,0.026303
125,0.026442
126,0.026314
127,0.026495
128,0.026352
129,0.026413
130,0.026312
131,0.026488
132,0.078523
133,0.026480
134,0.026338
135,0.026405
136,0.026334
137,0.026352
138,0.026407
139,0.026376
140,0.052273
141,0.026554
142,0.026344
143,0.026542
144,0.026301
145,0.026471
146,0.026364
147,0.026224
148,0.026439
149,0.026317
150,0.026441
151,0.026406
152,0.026377
153,0.026675
154,0.078819
155,0.105096
156,0.052289
157,0.026387
158,0.052549
159,0.052489
160,0.052650
161,0.052838
162,0.078891
163,0.078493
164,0.078821
165,0.080338
166,0.078571
167,0.078706
168,0.052533
169,0.052646
170,0.026471
171,0.052478
172,0.026564
173,0.026395
174,0.026377
175,0.026450
176,0.026541
177,0.026400
178,0.026446
179,0.026332
180,0.026385
181,0.026478
182,0.026326
183,0.026408
184,0.026397
185,0.026470
186,0.026301
187,0.026358
188,0.026380
189,0.026334
190,0.026434
191,0.026376
192,0.026504
193,0.026413
194,0.026350
195,0.026292
196,0.026604
197,0.026403
198,0.026536
199,0.026438
200,0.026350
201,0.026554
202,0.026393
203,0.026431
204,0.026425
205,0.026342
206,0.026414
207,0.026391
208,0.026273
209,0.026512
210,0.026445
211,0.026347
212,0.026415
213,0.026440
214,0.026430
215,0.026339
216,0.026342
217,0.026566
218,0.026475
219,0.026461
220,0.026392
221,0.026525
222,0.026468
223,0.026323
224,0.026400
225,0.026447
226,0.026279
227,0.026499
228,0.026336
229,0.026373
230,0.026431
231,0.026384
232,0.026409
233,0.026399
234,0.026310
235,0.026311
236,0.026306
237,0.026415
238,0.026298
239,0.026404
240,0.026409
241,0.026447
242,0.026263
243,0.026338
244,0.026433
245,0.026442
246,0.026409
247,0.026333
248,0.026248
249,0.026541
250,0.026368
251,0.026376
252,0.026368
253,0.026394
254,0.026433
255,0.026185
256,0.026189
257,0.026376
258,0.026257
259,0.026314
260,0.026302
261,0.026222
262,0.026306
263,0.026246
264,0.026193
265,0.026339
266,0.026175
267,0.026243
268,0.026252
269,0.026424
270,0.026437
271,0.026275
272,0.026394
273,0.026239
274,0.026789
275,0.026300
276,0.026697
277,0.026407
278,0.026258
279,0.026617
280,0.026309
281,0.026724
282,0.026465
283,0.026384
284,0.026465
285,0.026510
286,0.026647
287,0.026396
288,0.026397
289,0.026393
290,0.026608
291,0.026655
292,0.026359
293,0.026730
294,0.026425
295,0.026307
296,0.026532
297,0.026413
298,0.026577
299,0.026276
300,0.026501
301,0.026665
302,0.026488
303,0.026342
304,0.026259
305,0.026690
306,0.026483
307,0.026524
308,0.026423
309,0.026463
310,0.026744
311,0.026604
312,0.026364
313,0.026736
314,0.026308
315,0.052409
316,0.026436
