# episode_index, seconds
1,0.006637
2,0.005222
3,0.010800
4,0.007149
5,0.011432
6,0.011273
7,0.006103
8,0.006086
9,0.009996
10,0.012829
11,0.006096
12,0.003856
13,0.010644
14,0.007969
15,0.010109
16,0.006009
17,0.009485
18,0.007203
19,0.011104
20,0.194998
21,0.142805
22,0.256347
23,0.144019
24,0.191645
25,0.140808
26,0.146107
27,0.142165
28,0.095829
29,0.161013
30,0.141012
31,0.095937
32,0.145714
33,0.140225
34,0.146556
35,0.144580
36,0.141600
37,0.098306
38,0.141675
39,0.149806
40,0.186456
41,0.098455
42,0.097012
43,0.213352
44,0.191352
45,0.046760
46,0.143226
47,0.145606
48,0.119959
49,0.182789
50,0.195129
51,0.238939
52,0.288528
53,0.194241
54,0.145955
55,0.094522
56,0.144026
57,0.145287
58,0.047728
59,0.142837
60,0.145414
61,0.143378
62,0.191620
63,0.205243
64,0.121514
65,0.158457
66,0.161437
67,0.118884
68,0.063918
69,0.175073
70,0.270628
71,0.162899
72,0.044904
73,0.103933
74,0.069093
75,0.076955
76,0.239572
77,0.137276
78,0.118379
79,0.085882
80,0.135726
81,0.137686
82,0.137142
83,0.140260
84,0.138441
85,0.184703
86,0.137165
87,0.183792
88,0.091420
89,0.137708
90,0.096050
91,0.137677
92,0.092456
93,0.138324
94,0.139329
95,0.141007
96,0.139114
97,0.092447
98,0.137611
99,0.138282
100,0.146904
101,0.136772
102,0.092230
103,0.137171
104,0.139223
105,0.139961
106,0.096605
107,0.139161
108,0.091364
109,0.093464
110,0.093946
111,0.046706
112,0.050914
113,0.093318
114,0.046661
115,0.091255
116,0.046384
117,0.139188
118,0.046742
119,0.094759
120,0.095298
121,0.046869
122,0.091088
123,0.046001
124,0.046310
125,0.045975
126,0.090216
127,0.091135
128,0.094544
129,0.046477
130,0.047579
131,0.046854
132,0.050349
133,0.093878
134,0.046292
135,0.046227
136,0.046300
137,0.049956
138,0.047138
139,0.046387
140,0.097141
141,0.092783
142,0.140890
143,0.046226
144,0.047103
145,0.046944
146,0.050662
147,0.093893
148,0.046035
149,0.046059
150,0.046126
151,0.094518
152,0.046346
