# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,170.886179,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
2,170.888825,['1_train', '1_test'],[1.0, -0.05277471989393234, -0.05277471989393234, 0.9999998807907104]
3,170.891239,['1_train', '1_test'],[1.0, -0.05105186253786087, -0.05105186253786087, 1.0000001192092896]
4,170.896779,['1_train', '1_test'],[1.0, -0.05230673775076866, -0.05230673775076866, 1.0]
5,170.904130,['1_train', '1_test'],[1.0, -0.05235506594181061, -0.05235506594181061, 0.9999998211860657]
6,170.906015,['1_train', '1_test'],[1.0, -0.05178329721093178, -0.05178329721093178, 1.000000238418579]
7,170.908118,['1_train', '1_test'],[1.0, -0.049287546426057816, -0.049287546426057816, 0.9999999403953552]
8,170.910678,['1_train', '1_test'],[1.0, -0.048640698194503784, -0.048640698194503784, 0.9999999403953552]
9,170.913851,['1_train', '1_test'],[1.0, -0.049625106155872345, -0.049625106155872345, 1.0]
10,170.917659,['1_train', '1_test'],[1.0, -0.048127204179763794, -0.048127204179763794, 0.9999998807907104]
11,170.923281,['1_train', '1_test'],[1.0, -0.04981077089905739, -0.04981077089905739, 1.0]
12,170.924791,['1_train', '1_test'],[1.0, -0.05128756910562515, -0.05128756910562515, 1.0]
13,170.927481,['1_train', '1_test'],[1.0, -0.04891572520136833, -0.04891572520136833, 1.000000238418579]
14,170.932671,['1_train', '1_test'],[1.0, -0.05023343861103058, -0.05023343861103058, 1.000000238418579]
15,170.939115,['1_train', '1_test'],[1.0, -0.05098826438188553, -0.05098826438188553, 1.0]
16,170.946840,['1_train', '1_test'],[1.0, -0.05083058401942253, -0.05083058401942253, 1.0]
17,170.948289,['1_train', '1_test'],[1.0, -0.05246078222990036, -0.05246078222990036, 1.0000001192092896]
18,170.949760,['1_train', '1_test'],[1.0, -0.0513778030872345, -0.0513778030872345, 1.0000003576278687]
19,170.952350,['1_train', '1_test'],[1.0, -0.050836220383644104, -0.050836220383644104, 0.9999998807907104]
20,170.953674,['1_train', '1_test'],[1.0, -0.049680475145578384, -0.049680475145578384, 1.0]
21,170.955023,['1_train', '1_test'],[1.0, -0.05036190152168274, -0.05036190152168274, 1.0000001192092896]
22,170.956739,['1_train', '1_test'],[1.0, -0.04865166172385216, -0.04865166172385216, 1.0000001192092896]
23,170.962895,['1_train', '1_test'],[1.0, -0.04950550198554993, -0.04950550198554993, 0.9999998211860657]
24,170.964396,['1_train', '1_test'],[1.0, -0.051322463899850845, -0.051322463899850845, 1.0]
25,170.966085,['1_train', '1_test'],[1.0, -0.05133930221199989, -0.05133930221199989, 0.9999998807907104]
26,170.973390,['1_train', '1_test'],[1.0, -0.04796648398041725, -0.04796648398041725, 1.0]
27,170.976632,['1_train', '1_test'],[1.0, -0.04702324792742729, -0.04702324792742729, 1.0]
28,170.980500,['1_train', '1_test'],[1.0, -0.049672238528728485, -0.049672238528728485, 1.0]
29,170.982023,['1_train', '1_test'],[1.0, -0.050202373415231705, -0.050202373415231705, 1.0000001192092896]
