# episode_index, seconds
1,0.009630
2,0.006853
3,0.007932
4,0.007924
5,0.003328
6,0.003852
7,0.005752
8,0.002023
9,0.003295
10,0.001813
11,0.009592
12,0.009358
13,0.005161
14,0.001834
15,0.001614
16,0.001992
17,0.003427
18,0.004589
19,0.001889
20,0.003270
21,0.001965
22,0.001656
23,0.008031
24,0.002042
25,0.004991
26,0.001658
27,0.009424
28,0.001908
29,0.004970
30,0.003470
31,0.003294
32,0.003279
33,0.002150
34,0.004948
35,0.001644
36,0.011241
37,0.006303
38,0.001984
39,0.003322
40,0.001839
41,0.001655
42,0.008235
43,0.003327
44,0.003312
45,0.009790
46,0.001632
47,0.098943
48,0.086232
49,0.086085
50,0.042951
51,0.172146
52,0.087932
53,0.043899
54,0.076692
55,0.035446
56,0.042878
57,0.046631
58,0.044022
59,0.043355
60,0.045541
61,0.043623
62,0.043122
63,0.044658
64,0.043252
65,0.043828
66,0.044014
67,0.042650
68,0.043354
69,0.043227
70,0.044018
71,0.085474
72,0.042396
73,0.043998
74,0.042391
75,0.043330
76,0.043137
77,0.041279
78,0.042688
79,0.043185
80,0.044011
81,0.044074
82,0.042504
83,0.043164
84,0.044208
85,0.043149
86,0.043673
87,0.044324
88,0.042795
89,0.043172
90,0.043393
91,0.043849
92,0.042568
93,0.044320
94,0.043724
95,0.051683
96,0.086052
97,0.044954
98,0.043384
99,0.042594
100,0.044402
101,0.045753
102,0.044030
103,0.044390
104,0.043696
105,0.044008
106,0.047301
107,0.043519
108,0.043147
109,0.045091
110,0.046288
111,0.085061
112,0.043093
113,0.044019
114,0.041438
115,0.088322
116,0.043548
117,0.043048
118,0.043803
119,0.044639
120,0.043458
121,0.080990
122,0.039167
123,0.127499
124,0.043725
125,0.043094
126,0.043444
127,0.042906
128,0.043820
129,0.045860
130,0.044363
131,0.042385
132,0.044558
133,0.042813
134,0.044220
135,0.043959
136,0.043832
137,0.043474
138,0.043664
139,0.042694
140,0.042918
141,0.042643
142,0.041678
143,0.044827
144,0.046160
145,0.043794
146,0.043760
147,0.043548
148,0.043352
149,0.045132
150,0.043154
151,0.042824
152,0.045472
153,0.043324
154,0.043046
155,0.043187
156,0.043482
157,0.042913
158,0.043079
159,0.042232
160,0.043728
161,0.043061
162,0.082680
163,0.044251
164,0.043163
165,0.042761
166,0.044097
167,0.043083
168,0.042937
169,0.044313
170,0.042443
171,0.043047
172,0.043276
173,0.044242
174,0.042843
175,0.046408
176,0.043844
177,0.041989
178,0.044067
179,0.043366
180,0.042686
181,0.044901
182,0.043070
183,0.042255
184,0.044459
185,0.047439
186,0.045448
187,0.131569
188,0.042481
189,0.043181
190,0.043927
191,0.042407
192,0.042459
193,0.043507
194,0.044604
195,0.043163
196,0.043602
197,0.032778
198,0.058577
199,0.043256
200,0.043183
201,0.044429
202,0.043864
203,0.042158
204,0.044586
205,0.043517
206,0.042613
207,0.044455
208,0.042381
209,0.043671
210,0.043053
211,0.043835
212,0.042751
213,0.042886
214,0.042954
215,0.043914
216,0.043492
217,0.043090
218,0.087231
219,0.044696
220,0.087884
221,0.043376
222,0.089472
223,0.043886
224,0.073081
225,0.043161
226,0.087284
227,0.042708
228,0.043340
229,0.087320
230,0.128799
231,0.044249
232,0.127849
233,0.129153
234,0.085777
235,0.085972
236,0.086397
237,0.116388
238,0.087285
239,0.084892
240,0.042449
241,0.044671
242,0.042796
243,0.042898
244,0.042426
245,0.044255
246,0.042572
247,0.042825
248,0.043348
249,0.044132
250,0.043518
251,0.042601
252,0.043548
253,0.042817
254,0.086475
255,0.070187
256,0.044039
257,0.043602
258,0.043115
259,0.043211
260,0.042474
261,0.043939
262,0.041972
263,0.042309
264,0.042610
265,0.044204
266,0.043453
267,0.043246
268,0.043263
269,0.043843
270,0.043199
271,0.042867
272,0.042545
273,0.044133
274,0.042662
275,0.042638
276,0.042616
277,0.043973
278,0.046041
279,0.042790
280,0.043966
281,0.042666
282,0.042742
283,0.043145
284,0.043756
285,0.042390
286,0.043873
287,0.043237
288,0.042455
289,0.043295
290,0.043001
291,0.044065
292,0.042752
293,0.042558
294,0.042662
295,0.044234
296,0.042302
297,0.042937
298,0.043830
299,0.043922
300,0.042845
301,0.044801
302,0.043776
303,0.043097
304,0.043017
305,0.042675
306,0.044468
307,0.043127
308,0.042141
309,0.043087
310,0.043981
311,0.042422
312,0.042526
313,0.043518
314,0.043602
315,0.043689
316,0.042707
317,0.043881
318,0.042628
319,0.042903
320,0.043295
321,0.043785
322,0.042767
323,0.043270
324,0.042962
325,0.043994
326,0.043138
327,0.042976
328,0.042773
329,0.044082
330,0.043775
331,0.042657
332,0.040423
333,0.026473
334,0.026834
335,0.027043
336,0.026564
337,0.026299
338,0.026274
339,0.026055
340,0.026028
341,0.040122
342,0.043402
343,0.043441
344,0.043312
345,0.043700
346,0.042322
347,0.042475
348,0.047022
349,0.042445
350,0.042829
351,0.044060
352,0.042441
353,0.043248
354,0.043149
355,0.043790
356,0.042878
357,0.043543
358,0.042384
359,0.044241
360,0.126651
361,0.044380
362,0.043060
363,0.087261
364,0.041982
365,0.042694
366,0.042684
367,0.044321
368,0.127990
369,0.043948
370,0.043580
371,0.042963
372,0.043926
373,0.043415
374,0.042506
375,0.042637
376,0.043895
377,0.043358
378,0.043257
379,0.043244
380,0.042798
381,0.043343
382,0.042455
383,0.044102
384,0.043652
385,0.043576
386,0.044063
387,0.042544
388,0.042800
389,0.043874
390,0.043529
391,0.043198
392,0.043234
393,0.044154
394,0.043336
395,0.045199
396,0.043442
397,0.042987
398,0.043393
399,0.043967
400,0.042308
401,0.043389
402,0.043015
403,0.043670
404,0.043181
405,0.042764
406,0.043074
407,0.043277
408,0.043655
409,0.043939
