# episode_index, seconds
1,0.011316
2,0.014781
3,0.017553
4,0.002083
5,0.015943
6,0.017633
7,0.019305
8,0.001992
9,0.023156
10,0.004652
11,0.015909
12,0.013636
13,0.006254
14,0.001572
15,0.005464
16,0.016265
17,0.014071
18,0.114741
19,0.277164
20,0.264300
21,0.190739
22,0.181699
23,0.090733
24,0.089761
25,0.090739
26,0.045532
27,0.090756
28,0.137142
29,0.112325
30,0.043612
31,0.126423
32,0.131432
33,0.043745
34,0.044399
35,0.045524
36,0.044805
37,0.088176
38,0.043287
39,0.044079
40,0.042803
41,0.043629
42,0.043831
43,0.044712
44,0.043749
45,0.044576
46,0.083259
47,0.043943
48,0.043291
49,0.087006
50,0.043603
51,0.044425
52,0.046487
53,0.047575
54,0.045654
55,0.045205
56,0.044361
57,0.089086
58,0.044181
59,0.044047
60,0.043534
61,0.130903
62,0.043480
63,0.128021
64,0.086046
65,0.044095
66,0.043700
67,0.044391
68,0.044066
69,0.044355
70,0.044870
71,0.045370
72,0.044015
73,0.043887
74,0.043174
75,0.086732
76,0.172373
77,0.127293
78,0.044161
79,0.044274
80,0.043781
81,0.043985
82,0.046827
83,0.045608
84,0.044570
85,0.043593
86,0.043441
87,0.042723
88,0.043738
89,0.044008
90,0.044651
91,0.043495
92,0.042029
93,0.040983
94,0.087182
95,0.044346
96,0.086857
97,0.044265
98,0.044160
99,0.043921
100,0.043510
101,0.043742
102,0.044977
103,0.045304
104,0.045125
105,0.045066
106,0.045657
107,0.044248
108,0.052228
109,0.043990
110,0.043678
111,0.046931
112,0.047389
113,0.046003
114,0.045428
115,0.044886
116,0.044059
117,0.043890
118,0.050272
119,0.055918
120,0.055131
121,0.044167
122,0.044490
123,0.044260
124,0.043695
125,0.043945
126,0.044883
127,0.043268
128,0.043949
129,0.043677
130,0.043849
131,0.044713
132,0.044113
133,0.044075
134,0.045621
135,0.043611
136,0.041336
137,0.041960
138,0.043498
139,0.044489
140,0.087192
141,0.044068
142,0.043961
143,0.045023
144,0.045849
145,0.045456
146,0.045728
147,0.043757
148,0.043702
149,0.043891
150,0.043329
151,0.044079
152,0.044633
153,0.043849
154,0.044423
155,0.043824
156,0.057967
157,0.043563
158,0.043057
159,0.042495
160,0.043811
161,0.044453
162,0.044176
163,0.043849
164,0.043650
165,0.040721
166,0.042420
167,0.044092
168,0.044029
169,0.044078
170,0.043706
171,0.043735
172,0.044821
173,0.046835
174,0.045329
175,0.089464
176,0.043175
177,0.085427
178,0.087380
179,0.082852
180,0.042999
181,0.218090
182,0.135264
183,0.129853
184,0.131157
185,0.126356
186,0.133193
187,0.131405
188,0.047162
189,0.137540
190,0.087000
191,0.086836
192,0.044218
193,0.044201
194,0.087890
195,0.043171
196,0.041293
197,0.085494
198,0.043463
199,0.079806
200,0.088967
201,0.091209
202,0.090785
203,0.045959
204,0.090555
205,0.045395
206,0.045455
207,0.044711
208,0.045851
209,0.045495
210,0.044615
211,0.046087
212,0.045672
213,0.044835
214,0.045122
215,0.044916
216,0.045241
217,0.045039
218,0.044470
219,0.045334
220,0.044610
221,0.045170
222,0.044820
223,0.044662
224,0.044970
225,0.044925
226,0.045203
227,0.045676
228,0.045916
229,0.044784
230,0.045635
231,0.045120
232,0.044825
233,0.044900
234,0.044606
235,0.045500
236,0.044901
237,0.044632
238,0.045081
239,0.044634
240,0.045055
241,0.045549
242,0.045061
243,0.045102
244,0.044711
245,0.045861
246,0.045178
247,0.044860
248,0.044982
249,0.044735
250,0.044821
251,0.044950
252,0.044932
253,0.045047
254,0.045444
255,0.045409
256,0.044403
257,0.045041
258,0.044621
259,0.044823
260,0.045450
261,0.044826
262,0.045632
263,0.044634
264,0.045179
265,0.045560
266,0.044911
267,0.045889
268,0.045048
269,0.045162
270,0.044477
271,0.046239
272,0.044566
273,0.044230
274,0.044196
275,0.045400
276,0.089299
277,0.045808
278,0.044949
279,0.044965
280,0.045701
281,0.045756
282,0.044818
283,0.044645
284,0.045000
285,0.045399
286,0.044899
287,0.045103
288,0.090376
289,0.045083
290,0.045005
291,0.044461
292,0.044824
293,0.045339
294,0.045331
295,0.034345
296,0.029542
297,0.029640
298,0.029787
299,0.029684
300,0.029366
301,0.029710
302,0.029525
303,0.029396
304,0.029681
305,0.029166
306,0.030062
307,0.029694
308,0.029001
309,0.029280
310,0.029583
311,0.028928
312,0.029781
313,0.029370
314,0.029517
315,0.029067
316,0.029518
317,0.043838
318,0.031085
319,0.028702
320,0.029028
321,0.028982
322,0.028580
323,0.029057
324,0.029059
325,0.029007
326,0.028509
327,0.029331
328,0.029002
329,0.029181
330,0.028690
331,0.058648
332,0.029226
333,0.057924
334,0.029617
335,0.029228
336,0.087262
337,0.029135
338,0.058616
339,0.029725
340,0.116041
341,0.144451
342,0.086637
343,0.115532
344,0.057836
345,0.058376
346,0.087342
347,0.058056
348,0.029078
349,0.087703
350,0.086985
351,0.087294
352,0.029230
353,0.058395
354,0.028781
355,0.086693
356,0.086409
357,0.087335
358,0.086991
359,0.057445
360,0.087008
361,0.058801
362,0.087044
363,0.089523
364,0.095709
365,0.128971
366,0.099175
367,0.138328
368,0.095753
369,0.047445
370,0.097597
371,0.092887
372,0.144267
373,0.129778
374,0.094832
375,0.096819
376,0.093384
377,0.048117
378,0.096801
379,0.096907
380,0.095137
381,0.051215
382,0.095540
383,0.095908
384,0.094795
385,0.151741
386,0.094095
387,0.146242
388,0.046672
389,0.096439
390,0.094940
391,0.098304
392,0.049867
393,0.095165
394,0.098516
395,0.093478
396,0.050027
397,0.047756
398,0.145021
399,0.093135
400,0.048797
401,0.146173
402,0.143707
403,0.048668
404,0.144632
405,0.046934
406,0.046606
407,0.242007
408,0.189061
409,0.047216
410,0.145469
411,0.095054
412,0.096645
413,0.237945
414,0.049758
415,0.289864
416,0.241467
417,0.189925
418,0.210668
419,0.145550
420,0.142751
421,0.192668
422,0.190519
423,0.144939
424,0.144942
425,0.048623
426,0.098572
427,0.093259
428,0.046441
429,0.095957
430,0.098745
431,0.047883
432,0.143757
433,0.096498
434,0.049989
435,0.141982
436,0.144426
437,0.097115
438,0.095805
439,0.095423
440,0.051271
441,0.143092
442,0.095320
443,0.099072
444,0.093354
445,0.143326
446,0.145850
447,0.047696
448,0.144132
449,0.051572
450,0.047704
451,0.045986
452,0.050145
453,0.047531
454,0.046229
455,0.097933
456,0.047156
457,0.047221
458,0.049630
459,0.047568
460,0.046740
461,0.051279
462,0.047625
463,0.047361
464,0.048637
465,0.047862
466,0.046808
467,0.051388
468,0.047864
469,0.047570
470,0.047702
471,0.048618
472,0.048760
473,0.051955
474,0.047173
475,0.047695
476,0.048846
477,0.049376
478,0.047496
479,0.051498
480,0.047148
481,0.046620
