# episode_index, seconds
1,0.001374
2,0.003968
3,0.002594
4,0.003642
5,0.003695
6,0.003607
7,0.001960
8,0.003666
9,0.003665
10,0.003109
11,0.003087
12,0.003647
13,0.003783
14,0.003672
15,0.003088
16,0.004204
17,0.003224
18,0.003718
19,0.001966
20,0.057447
21,0.129098
22,0.026049
23,0.026218
24,0.103842
25,0.104058
26,0.103988
27,0.104079
28,0.078188
29,0.078356
30,0.078173
31,0.078071
32,0.026336
33,0.026259
34,0.026252
35,0.104119
36,0.052360
37,0.026192
38,0.026250
39,0.052201
40,0.052273
41,0.104308
42,0.026363
43,0.026173
44,0.026401
45,0.026407
46,0.052156
47,0.052283
48,0.026283
49,0.104345
50,0.078352
51,0.026210
52,0.078204
53,0.078269
54,0.026203
55,0.078148
56,0.078093
57,0.026363
58,0.078131
59,0.052280
60,0.052260
61,0.078319
62,0.052211
63,0.026226
64,0.052192
65,0.026468
66,0.026682
67,0.080107
68,0.079225
69,0.052842
70,0.026299
71,0.026701
72,0.052559
73,0.052885
74,0.052751
75,0.052737
76,0.052751
77,0.078640
78,0.026371
79,0.052853
80,0.026423
81,0.078936
82,0.026538
83,0.026639
84,0.026463
85,0.078806
86,0.079135
87,0.053089
88,0.079247
89,0.078642
90,0.105469
91,0.104890
92,0.080242
93,0.056199
94,0.081763
95,0.079612
96,0.079193
97,0.078983
98,0.079158
99,0.105368
100,0.078689
101,0.079358
102,0.079002
103,0.026360
104,0.026466
105,0.052678
106,0.052887
107,0.026513
108,0.026466
109,0.026682
110,0.026310
111,0.026455
112,0.026727
113,0.052623
114,0.026579
115,0.026538
116,0.026808
117,0.026358
118,0.026760
119,0.026546
120,0.026509
121,0.026718
122,0.026543
123,0.026571
124,0.026285
125,0.052961
126,0.026432
127,0.026479
128,0.078953
129,0.052873
130,0.026957
131,0.026477
132,0.026405
133,0.052841
134,0.026503
135,0.052770
136,0.026395
137,0.026602
138,0.026388
139,0.026555
140,0.026336
141,0.026728
142,0.026536
143,0.026404
144,0.026480
145,0.026520
146,0.026509
147,0.026448
148,0.052905
149,0.026522
150,0.026536
151,0.026221
152,0.026431
153,0.026741
154,0.026409
155,0.026390
156,0.026631
157,0.026728
158,0.026320
159,0.026493
160,0.026674
161,0.026389
162,0.026297
163,0.026407
164,0.026550
165,0.026801
166,0.026438
167,0.026672
168,0.026505
169,0.026489
170,0.026606
171,0.026571
172,0.026701
173,0.026551
174,0.026517
175,0.026719
176,0.026553
177,0.026644
178,0.026425
179,0.026448
180,0.026628
181,0.026474
182,0.026467
183,0.026596
184,0.026644
185,0.026357
186,0.026406
187,0.026638
188,0.026487
189,0.026436
190,0.026637
191,0.026542
192,0.026611
193,0.026414
194,0.026662
195,0.026491
196,0.026270
197,0.026626
198,0.026498
199,0.026693
200,0.026391
201,0.026472
202,0.026663
203,0.026415
204,0.026530
205,0.026559
206,0.026695
207,0.026618
208,0.026279
209,0.026786
210,0.026633
211,0.026683
212,0.026462
213,0.026476
214,0.026661
215,0.026470
216,0.026390
217,0.026572
218,0.026456
219,0.026742
220,0.026428
221,0.026642
222,0.026513
223,0.026266
224,0.026724
225,0.026456
226,0.026734
227,0.026293
228,0.026468
229,0.026701
230,0.026394
231,0.026446
232,0.026481
233,0.026716
234,0.026272
235,0.026336
236,0.026505
237,0.026495
238,0.026578
239,0.026492
240,0.026484
241,0.026703
242,0.026418
243,0.026496
244,0.026266
245,0.026362
246,0.026564
247,0.026451
248,0.026456
249,0.026463
250,0.026705
251,0.026288
252,0.043715
253,0.026430
254,0.026296
255,0.026635
256,0.026495
257,0.026510
258,0.026660
259,0.026417
260,0.026688
261,0.026675
262,0.026463
263,0.026611
264,0.026379
265,0.026620
266,0.026425
267,0.026441
268,0.026411
269,0.026587
270,0.026758
271,0.026478
272,0.026470
273,0.026748
274,0.026445
275,0.026510
276,0.026498
277,0.026804
278,0.026302
279,0.026491
280,0.026731
281,0.026632
282,0.026700
283,0.026487
284,0.026503
285,0.026456
286,0.026519
287,0.026490
288,0.052697
289,0.026750
290,0.026484
291,0.052750
292,0.026381
293,0.026631
294,0.026479
295,0.078573
296,0.052678
297,0.079169
298,0.078921
299,0.104987
300,0.104997
301,0.079227
302,0.079085
303,0.052989
304,0.052781
305,0.052994
306,0.078793
307,0.052713
308,0.079234
309,0.078989
310,0.079195
311,0.078860
312,0.079341
313,0.079125
314,0.078774
315,0.078984
316,0.079174
317,0.079056
318,0.052910
319,0.078833
320,0.078998
321,0.079135
322,0.079065
323,0.079162
324,0.105674
325,0.105050
326,0.105130
327,0.105203
328,0.105240
329,0.105160
330,0.105393
331,0.104902
332,0.104881
333,0.105148
334,0.079052
335,0.104489
336,0.104322
337,0.078512
338,0.052360
339,0.078416
340,0.052344
341,0.078353
342,0.072256
343,0.026358
344,0.052789
345,0.052610
346,0.026372
347,0.026749
348,0.026411
349,0.026529
350,0.026533
351,0.026642
352,0.026295
353,0.026473
354,0.026398
355,0.026543
356,0.026529
357,0.026583
358,0.026682
359,0.026750
360,0.026264
361,0.027003
362,0.026822
363,0.026455
364,0.026570
365,0.026518
366,0.026733
367,0.026436
368,0.026628
369,0.026730
370,0.026484
371,0.026438
372,0.026375
373,0.026523
374,0.026666
375,0.026323
376,0.026689
377,0.026697
378,0.026444
379,0.026610
380,0.026509
381,0.026588
382,0.026545
383,0.026636
384,0.026358
385,0.026533
386,0.026464
387,0.026538
388,0.026414
389,0.026566
390,0.026415
391,0.026654
392,0.026565
393,0.026790
394,0.026504
395,0.026308
396,0.026792
397,0.026615
398,0.026566
399,0.026258
400,0.026452
401,0.026809
402,0.052660
403,0.026505
404,0.052858
405,0.026465
406,0.026455
407,0.026439
408,0.052752
409,0.052832
410,0.026498
411,0.052813
412,0.078783
413,0.026505
414,0.078592
415,0.052723
416,0.026562
417,0.052705
418,0.052808
419,0.026524
420,0.026638
421,0.026417
422,0.026635
423,0.026416
424,0.052902
425,0.053081
426,0.026394
427,0.026483
428,0.026730
429,0.026409
430,0.026450
431,0.052859
432,0.026456
433,0.026563
434,0.026422
435,0.026483
436,0.026519
437,0.026453
438,0.026453
439,0.026538
440,0.026356
441,0.026782
442,0.026272
443,0.026548
444,0.026638
445,0.026518
446,0.026613
447,0.026395
448,0.026531
449,0.052943
450,0.026698
451,0.026397
452,0.026691
453,0.026465
454,0.026312
455,0.026671
456,0.026503
457,0.078784
458,0.026513
459,0.026531
460,0.026628
461,0.026443
462,0.026510
463,0.026567
464,0.026440
465,0.026623
466,0.026451
467,0.026572
468,0.026535
469,0.026528
470,0.026463
471,0.026386
472,0.078802
473,0.026821
474,0.026484
475,0.026735
476,0.026429
477,0.026533
478,0.026655
479,0.026406
480,0.026515
481,0.026705
482,0.026613
483,0.026732
484,0.026421
485,0.026716
486,0.026501
487,0.026753
488,0.026209
489,0.026472
490,0.026371
491,0.026617
492,0.026374
493,0.026410
494,0.026358
495,0.026574
496,0.026373
497,0.026565
498,0.026373
499,0.026396
500,0.026515
501,0.026456
502,0.026422
503,0.026452
504,0.026632
505,0.026445
506,0.026444
507,0.026582
508,0.042451
509,0.026381
510,0.026174
511,0.026330
512,0.026550
513,0.026459
514,0.026520
515,0.026346
516,0.026584
517,0.026462
518,0.026384
519,0.026545
520,0.026195
521,0.026682
522,0.026442
523,0.026134
524,0.026510
525,0.026487
526,0.026650
527,0.026420
528,0.026439
529,0.026749
530,0.026417
531,0.026544
532,0.026465
533,0.026594
534,0.026322
535,0.026313
536,0.026613
537,0.026267
538,0.026647
539,0.026419
540,0.026218
541,0.026613
542,0.026371
543,0.026587
544,0.026371
545,0.026607
546,0.026564
547,0.026391
548,0.026562
549,0.026439
550,0.105273
551,0.026447
552,0.026605
553,0.026262
554,0.026575
555,0.026740
556,0.026507
557,0.079475
558,0.027083
559,0.026969
560,0.079371
561,0.026660
562,0.078617
563,0.052572
564,0.052676
565,0.026255
566,0.052548
567,0.029568
568,0.027672
569,0.108398
570,0.080232
571,0.081415
572,0.082267
573,0.054921
574,0.027106
575,0.053528
576,0.053007
577,0.026540
578,0.026410
579,0.026204
580,0.026324
581,0.026221
582,0.026360
583,0.026090
584,0.026440
585,0.026600
586,0.026415
587,0.026270
588,0.026401
589,0.026267
590,0.026413
591,0.026070
592,0.026269
593,0.026282
594,0.026368
595,0.026167
596,0.026382
597,0.026199
598,0.026350
599,0.026133
600,0.026919
601,0.026526
602,0.026401
603,0.026176
604,0.052897
605,0.026749
606,0.026144
607,0.026552
608,0.026157
609,0.027429
610,0.027423
611,0.027165
612,0.027211
613,0.027422
614,0.027701
615,0.027497
616,0.026214
617,0.026468
618,0.027019
619,0.026562
620,0.026201
621,0.052379
622,0.026218
623,0.026385
624,0.052282
625,0.026554
626,0.026323
627,0.026436
628,0.052451
629,0.026421
630,0.026298
631,0.026357
632,0.026207
633,0.026356
634,0.026285
635,0.026469
636,0.026163
637,0.026373
638,0.026289
639,0.026398
640,0.026233
641,0.026462
642,0.026280
643,0.026542
644,0.026195
645,0.026487
646,0.026284
647,0.026403
648,0.026254
649,0.026400
650,0.026184
651,0.026365
652,0.026085
653,0.026456
654,0.026189
655,0.026414
656,0.026165
657,0.026420
658,0.026131
659,0.026313
660,0.026440
661,0.052158
662,0.052218
663,0.078330
664,0.094592
665,0.079205
666,0.078668
667,0.078714
668,0.078516
669,0.078081
670,0.078245
671,0.052289
672,0.078268
673,0.078165
674,0.078432
675,0.078313
676,0.052450
677,0.078285
678,0.078062
679,0.078099
680,0.078002
681,0.078413
682,0.053226
683,0.052442
684,0.078604
685,0.078570
686,0.078624
687,0.078611
688,0.078162
689,0.026461
690,0.078725
691,0.078250
692,0.026584
693,0.026231
694,0.026361
695,0.026114
696,0.026327
697,0.026457
698,0.026531
699,0.052448
700,0.026271
701,0.052672
702,0.026515
703,0.078969
704,0.026564
705,0.078777
706,0.078320
707,0.052215
708,0.026323
709,0.078675
710,0.078267
711,0.105072
712,0.078222
713,0.104956
714,0.078512
715,0.078640
716,0.078745
717,0.052650
718,0.052733
719,0.052445
720,0.052472
721,0.052629
722,0.052325
723,0.052311
724,0.026553
725,0.026453
726,0.026530
727,0.052556
728,0.026253
729,0.026383
730,0.026429
731,0.052721
732,0.026308
733,0.052568
734,0.026317
735,0.026387
736,0.026337
737,0.052693
738,0.052648
739,0.052557
740,0.026315
741,0.026584
742,0.026519
743,0.026404
744,0.026431
745,0.026467
746,0.026601
747,0.026363
748,0.026341
749,0.026657
750,0.026207
751,0.026637
752,0.026360
753,0.026304
754,0.026418
755,0.026230
756,0.026415
757,0.026478
758,0.026537
759,0.026572
760,0.026278
761,0.026408
762,0.026410
763,0.026597
764,0.043545
765,0.026178
766,0.026403
767,0.026406
768,0.026597
769,0.026248
770,0.026377
771,0.026462
772,0.026321
773,0.026564
774,0.026377
775,0.026647
776,0.026351
777,0.026447
778,0.026669
779,0.026476
780,0.026544
781,0.026430
782,0.026404
783,0.026608
784,0.026420
785,0.026587
786,0.026341
787,0.026342
788,0.026474
789,0.078799
790,0.078454
791,0.078889
792,0.078480
793,0.078738
794,0.104588
795,0.026196
796,0.052849
797,0.052608
798,0.052726
799,0.026407
800,0.026649
801,0.026513
802,0.026483
803,0.026334
804,0.026150
805,0.052748
806,0.026633
807,0.026475
808,0.026548
809,0.026620
810,0.026502
811,0.026480
812,0.026387
813,0.026642
814,0.026443
815,0.026338
816,0.026583
817,0.026577
818,0.026498
819,0.026439
820,0.026421
821,0.026628
822,0.026429
823,0.026587
824,0.026245
825,0.026406
826,0.052646
827,0.026597
828,0.026257
829,0.026561
830,0.026318
831,0.026378
832,0.079263
833,0.026299
834,0.052913
835,0.078785
836,0.078538
837,0.078874
838,0.078580
839,0.078852
840,0.079014
841,0.078907
842,0.078681
843,0.078339
844,0.078952
845,0.078316
846,0.078769
847,0.078573
848,0.052719
849,0.079011
850,0.052831
851,0.079356
852,0.052670
853,0.053048
854,0.052741
855,0.026297
856,0.052585
857,0.052736
858,0.079163
859,0.052384
860,0.078811
861,0.026433
862,0.026364
863,0.078954
864,0.052528
865,0.052783
866,0.052695
867,0.026626
868,0.078510
869,0.052957
870,0.026509
871,0.052857
872,0.026378
873,0.026590
874,0.052818
875,0.026519
876,0.026489
877,0.052994
878,0.052767
879,0.079904
880,0.053029
881,0.026519
882,0.079231
883,0.026506
884,0.026424
885,0.026599
886,0.026535
887,0.026671
888,0.026661
889,0.079225
890,0.026670
891,0.026443
892,0.026742
893,0.026505
894,0.026697
895,0.026357
896,0.078795
897,0.026813
898,0.079610
899,0.026520
900,0.052620
901,0.052888
902,0.079350
903,0.053054
904,0.052818
905,0.078448
906,0.026420
907,0.026566
908,0.026362
909,0.026662
910,0.026378
911,0.026524
912,0.026467
913,0.026412
914,0.026610
915,0.026422
916,0.026591
917,0.026535
918,0.026355
919,0.026542
920,0.026387
921,0.026607
922,0.026249
923,0.026350
924,0.026567
925,0.026398
926,0.026484
927,0.026341
928,0.026676
929,0.026435
930,0.026367
931,0.026579
932,0.026184
933,0.026659
934,0.026271
935,0.026339
936,0.026432
937,0.026381
938,0.026584
939,0.026358
940,0.026532
941,0.026223
942,0.026339
943,0.026499
944,0.026329
945,0.026657
946,0.026311
947,0.026181
948,0.026311
949,0.026472
950,0.026808
951,0.026576
952,0.026298
953,0.026606
954,0.026541
955,0.026365
956,0.026429
957,0.026727
958,0.026346
959,0.026401
960,0.026664
961,0.026482
962,0.026534
963,0.026455
964,0.026330
965,0.026603
966,0.026356
