# episode_index, seconds
1,0.004661
2,0.002446
3,0.002891
4,0.003403
5,0.003470
6,0.003446
7,0.003451
8,0.003412
9,0.003552
10,0.002945
11,0.002945
12,0.003994
13,0.002968
14,0.002915
15,0.003446
16,0.003556
17,0.003497
18,0.004111
19,0.131252
20,0.154648
21,0.129417
22,0.103518
23,0.103550
24,0.103488
25,0.077775
26,0.077706
27,0.052080
28,0.077881
29,0.077946
30,0.103737
31,0.103740
32,0.103678
33,0.103660
34,0.103755
35,0.103870
36,0.103738
37,0.103773
38,0.129793
39,0.103742
40,0.103965
41,0.104227
42,0.103992
43,0.104084
44,0.103807
45,0.078135
46,0.104119
47,0.129900
48,0.103905
49,0.078049
50,0.079260
51,0.078283
52,0.103860
53,0.078017
54,0.103830
55,0.077780
56,0.078026
57,0.078124
58,0.103957
59,0.078086
60,0.103998
61,0.078152
62,0.104727
63,0.103877
64,0.129705
65,0.104076
66,0.078125
67,0.077966
68,0.078088
69,0.104025
70,0.103889
71,0.103764
72,0.078190
73,0.078052
74,0.078130
75,0.103722
76,0.104154
77,0.078242
78,0.078044
79,0.078014
80,0.103975
81,0.078001
82,0.077989
83,0.077949
84,0.077916
85,0.077973
86,0.077947
87,0.052202
88,0.078041
89,0.078101
90,0.077833
91,0.078066
92,0.078112
93,0.078179
94,0.078094
95,0.077905
96,0.078083
97,0.052190
98,0.078288
99,0.077965
100,0.078020
101,0.052152
102,0.078026
103,0.078177
104,0.078004
105,0.077900
106,0.077957
107,0.104382
108,0.104132
109,0.104101
110,0.104953
111,0.104257
112,0.104023
113,0.103843
114,0.077954
115,0.103805
116,0.103952
117,0.078099
118,0.078153
119,0.078123
120,0.077836
121,0.077937
122,0.077910
123,0.077843
124,0.077961
125,0.077955
126,0.077945
127,0.077918
128,0.077868
129,0.052250
130,0.077860
131,0.077955
132,0.103725
133,0.052148
134,0.077780
135,0.078101
136,0.052019
137,0.078007
138,0.078052
139,0.077900
140,0.077821
141,0.077863
142,0.077830
143,0.052224
144,0.077863
145,0.078001
146,0.078001
147,0.077813
148,0.077979
149,0.052248
150,0.077936
151,0.078033
152,0.077809
153,0.077707
154,0.078023
155,0.077853
156,0.077896
157,0.078186
158,0.077847
159,0.077718
160,0.052124
161,0.078120
162,0.077960
163,0.052055
164,0.077805
165,0.077924
166,0.077762
167,0.077834
168,0.077979
169,0.077836
170,0.077847
171,0.077851
172,0.077794
173,0.077954
174,0.078026
175,0.077741
176,0.103630
177,0.077859
178,0.077921
179,0.077716
180,0.103674
181,0.078159
182,0.077748
183,0.077782
184,0.078019
185,0.077924
186,0.078033
187,0.078047
188,0.104069
189,0.078386
190,0.078031
191,0.103881
192,0.077941
193,0.078128
194,0.078205
195,0.078000
196,0.078052
197,0.078144
198,0.078013
199,0.077931
200,0.078024
201,0.077995
202,0.078059
203,0.078761
204,0.078769
205,0.078504
206,0.078814
207,0.052431
208,0.078575
209,0.078562
210,0.078466
211,0.052475
212,0.052398
213,0.052468
214,0.052282
215,0.052513
216,0.052291
217,0.052403
218,0.078610
219,0.052315
220,0.052354
221,0.052595
222,0.078395
223,0.078534
224,0.052710
225,0.052736
226,0.026300
227,0.078329
228,0.078699
229,0.026361
230,0.052656
231,0.052557
232,0.052670
233,0.078560
234,0.052362
235,0.078189
236,0.104698
237,0.078527
238,0.104814
239,0.104506
240,0.078974
241,0.078490
242,0.104969
243,0.104449
244,0.078950
245,0.078384
246,0.078582
247,0.104603
248,0.078504
249,0.104928
250,0.078700
251,0.078838
252,0.104607
253,0.078637
254,0.052625
255,0.052472
256,0.052805
257,0.052397
258,0.026371
259,0.052358
260,0.026256
261,0.052371
262,0.026281
263,0.052203
264,0.052415
265,0.026443
266,0.052553
267,0.052729
268,0.052548
269,0.052562
270,0.052525
271,0.052465
272,0.026271
273,0.052542
274,0.052261
275,0.052270
276,0.052316
277,0.052683
278,0.026403
279,0.052827
280,0.026144
281,0.052573
282,0.052311
283,0.052262
284,0.052402
285,0.052569
286,0.026355
287,0.026337
288,0.052505
289,0.052649
290,0.052695
291,0.052529
292,0.052576
293,0.052306
294,0.052537
295,0.052490
296,0.078501
297,0.052351
298,0.052631
299,0.078928
300,0.078688
301,0.026350
302,0.052335
303,0.052385
304,0.052280
305,0.052560
306,0.052265
307,0.052384
308,0.052496
309,0.052325
310,0.069247
311,0.052152
312,0.052467
313,0.052418
314,0.026353
315,0.052856
316,0.052626
317,0.052786
318,0.052276
319,0.052550
320,0.052340
321,0.026347
322,0.052597
323,0.026590
324,0.052552
325,0.052709
326,0.052690
327,0.052911
328,0.078650
329,0.052688
330,0.052393
331,0.026479
332,0.052842
333,0.026514
334,0.052337
335,0.026542
336,0.052514
337,0.026471
338,0.026533
339,0.026314
340,0.026370
341,0.026663
342,0.026398
343,0.026461
344,0.052291
345,0.052596
346,0.052653
347,0.052677
348,0.026637
349,0.052181
350,0.026637
351,0.052475
352,0.026179
353,0.026410
354,0.052659
355,0.026494
356,0.052325
357,0.026470
358,0.026403
359,0.026575
360,0.026404
361,0.026687
362,0.026573
363,0.052649
364,0.052732
365,0.026359
366,0.026510
367,0.026391
368,0.052622
369,0.026350
370,0.052415
371,0.026457
372,0.026589
373,0.026386
374,0.026502
375,0.052647
376,0.026380
377,0.026412
378,0.026363
379,0.052749
380,0.052514
381,0.052386
382,0.026390
383,0.052707
384,0.052518
385,0.026602
386,0.052528
387,0.052436
388,0.026520
389,0.026386
390,0.026597
391,0.026304
392,0.026556
393,0.026465
394,0.052510
395,0.026338
396,0.052368
397,0.052508
398,0.052519
399,0.052576
400,0.026389
401,0.052754
402,0.052609
403,0.052669
404,0.052298
405,0.052413
406,0.052374
407,0.052377
408,0.052270
409,0.052815
410,0.052767
411,0.052442
412,0.052631
413,0.052513
414,0.052572
415,0.052762
416,0.052680
417,0.052879
418,0.078793
419,0.052692
420,0.052518
421,0.052755
422,0.052456
423,0.078768
424,0.052940
425,0.057399
426,0.059459
427,0.078144
428,0.078049
429,0.078209
430,0.052129
431,0.078155
432,0.078151
433,0.078178
434,0.052150
435,0.052175
436,0.052094
437,0.052257
438,0.052050
439,0.052216
440,0.052135
441,0.052222
442,0.052211
443,0.052195
444,0.052091
445,0.052198
446,0.052155
447,0.026229
448,0.026293
449,0.026218
450,0.052233
451,0.052184
452,0.052188
453,0.052185
454,0.052074
455,0.052200
456,0.052168
457,0.052442
458,0.052103
459,0.052281
460,0.052167
461,0.052247
462,0.052196
463,0.052251
464,0.052068
465,0.052153
466,0.052088
467,0.078066
468,0.077955
469,0.078172
470,0.078097
471,0.078065
472,0.078105
473,0.078206
474,0.078191
475,0.078059
476,0.078054
477,0.104116
478,0.078018
479,0.077992
480,0.078305
481,0.104013
482,0.103626
483,0.103799
484,0.103882
485,0.078366
486,0.078153
487,0.078014
488,0.077997
489,0.078156
490,0.052136
491,0.052186
492,0.052093
493,0.052114
494,0.052137
495,0.052063
496,0.052063
497,0.052203
498,0.026278
499,0.026294
500,0.052049
501,0.026251
502,0.052112
503,0.052192
504,0.052236
505,0.052239
506,0.026223
507,0.052330
508,0.042684
509,0.052008
510,0.052113
511,0.026184
512,0.026272
513,0.026356
514,0.052308
515,0.052730
516,0.052750
517,0.052898
518,0.052224
519,0.052639
520,0.052393
521,0.026463
522,0.052881
523,0.052528
524,0.052376
525,0.052934
526,0.026382
527,0.026619
528,0.052612
529,0.052704
530,0.052855
531,0.052408
532,0.052427
533,0.052783
534,0.052735
535,0.026268
536,0.026411
537,0.052723
538,0.052494
539,0.026326
540,0.052590
541,0.052740
542,0.052622
