# episode_index, seconds
1,0.004577
2,0.003839
3,0.002560
4,0.000767
5,0.003722
6,0.002538
7,0.001359
8,0.001331
9,0.002546
10,0.003098
11,0.000748
12,0.003671
13,0.002569
14,0.003113
15,0.002551
16,0.003096
17,0.003127
18,0.000772
19,0.001952
20,0.003075
21,0.003119
22,0.001970
23,0.002530
24,0.002525
25,0.003720
26,0.107984
27,0.051483
28,0.128961
29,0.103800
30,0.077745
31,0.052231
32,0.078127
33,0.052273
34,0.026324
35,0.026102
36,0.026417
37,0.026153
38,0.026163
39,0.052145
40,0.026311
41,0.052281
42,0.052228
43,0.078365
44,0.026018
45,0.052154
46,0.052107
47,0.052313
48,0.052024
49,0.026171
50,0.026220
51,0.025984
52,0.026270
53,0.026566
54,0.051972
55,0.052224
56,0.052092
57,0.078353
58,0.026007
59,0.078042
60,0.026366
61,0.026224
62,0.051916
63,0.026298
64,0.026187
65,0.026137
66,0.026395
67,0.052266
68,0.052438
69,0.026209
70,0.026209
71,0.026352
72,0.052108
73,0.026274
74,0.026266
75,0.026252
76,0.026154
77,0.026507
78,0.026131
79,0.026155
80,0.026040
81,0.026127
82,0.051964
83,0.026375
84,0.052466
85,0.026205
86,0.026205
87,0.026155
88,0.026203
89,0.026378
90,0.026168
91,0.026396
92,0.026031
93,0.052027
94,0.026270
95,0.026318
96,0.077938
97,0.026241
98,0.025990
99,0.026146
100,0.026081
101,0.026180
102,0.026365
103,0.026017
104,0.026269
105,0.026099
106,0.026361
107,0.025967
108,0.026208
109,0.026440
110,0.042501
111,0.026261
112,0.026036
113,0.026294
114,0.026220
115,0.026151
116,0.026292
117,0.026194
118,0.026196
119,0.026023
120,0.026358
121,0.026118
122,0.026192
123,0.026231
124,0.026192
125,0.026377
126,0.026170
127,0.026173
128,0.025988
129,0.026249
130,0.026333
131,0.026052
132,0.026189
133,0.026128
134,0.026256
135,0.026125
136,0.026110
137,0.026513
138,0.026121
139,0.026103
140,0.026037
141,0.026258
142,0.026155
143,0.052083
144,0.026243
145,0.026350
146,0.026263
147,0.026193
148,0.026160
149,0.026170
150,0.026289
151,0.026195
152,0.026425
153,0.026284
154,0.026095
155,0.025950
156,0.026018
157,0.026350
158,0.026084
159,0.026381
160,0.026295
161,0.026272
162,0.026020
163,0.026139
164,0.026309
165,0.026125
166,0.026162
167,0.026030
168,0.026407
169,0.026120
170,0.026050
171,0.026261
172,0.026076
173,0.026352
174,0.026014
175,0.026303
176,0.026295
177,0.026118
178,0.026163
179,0.026079
180,0.026338
181,0.026199
182,0.026174
183,0.026123
184,0.026260
185,0.026546
186,0.026088
187,0.026172
188,0.026199
189,0.026191
190,0.025974
191,0.026054
192,0.026318
193,0.026223
194,0.026440
195,0.026041
196,0.026347
197,0.052097
198,0.026128
199,0.026256
200,0.026246
201,0.026310
202,0.026119
203,0.026018
204,0.078106
205,0.052094
206,0.077987
207,0.078139
208,0.103787
209,0.104075
210,0.103746
211,0.129956
212,0.052256
213,0.026363
214,0.052174
215,0.078395
216,0.026038
217,0.026085
218,0.026066
219,0.026276
220,0.026383
221,0.026058
222,0.026357
223,0.025964
224,0.026225
225,0.026091
226,0.026238
227,0.026433
228,0.026317
229,0.026291
230,0.026193
231,0.025929
232,0.026006
233,0.026179
234,0.026288
235,0.026129
236,0.026266
237,0.026221
238,0.025991
239,0.026109
240,0.026252
241,0.026339
242,0.026121
243,0.026187
244,0.026140
245,0.026413
246,0.026081
247,0.026084
248,0.026262
249,0.026281
250,0.026285
251,0.026034
252,0.026263
253,0.026201
254,0.026101
255,0.026274
256,0.026129
257,0.026455
258,0.025989
259,0.026067
260,0.026063
261,0.026232
262,0.026298
263,0.026116
264,0.026464
265,0.026094
266,0.026134
267,0.026145
268,0.026100
269,0.026288
270,0.026080
271,0.026251
272,0.026187
273,0.026274
274,0.033029
275,0.027291
276,0.026100
277,0.026346
278,0.026142
279,0.026250
280,0.026125
281,0.026271
282,0.026233
283,0.026109
284,0.026363
285,0.026156
286,0.026351
287,0.026221
288,0.026232
289,0.026251
290,0.026102
291,0.026205
292,0.026130
293,0.026306
294,0.026160
295,0.026239
296,0.026087
297,0.026179
298,0.026283
299,0.026080
300,0.026273
301,0.026112
302,0.026278
303,0.026035
304,0.026077
305,0.026286
306,0.026068
307,0.052253
308,0.026321
309,0.052066
310,0.026355
311,0.026043
312,0.026407
313,0.052299
314,0.026048
315,0.026101
316,0.026219
317,0.026192
318,0.026313
319,0.026111
320,0.026340
321,0.026206
322,0.026081
323,0.026174
324,0.026113
325,0.026342
326,0.026098
327,0.026337
328,0.026050
329,0.052353
330,0.026104
331,0.052158
332,0.025991
333,0.026153
334,0.026077
335,0.026285
336,0.026105
337,0.026356
338,0.026051
339,0.026172
340,0.026069
341,0.026199
342,0.026124
343,0.025853
344,0.026132
345,0.026124
346,0.026051
347,0.026080
348,0.026120
349,0.051909
350,0.026301
351,0.026206
352,0.026383
353,0.026128
354,0.026278
355,0.026060
356,0.026197
357,0.026276
358,0.026111
359,0.026277
360,0.026125
361,0.026275
362,0.026115
363,0.026121
364,0.026223
365,0.026099
366,0.026318
367,0.025993
368,0.026319
369,0.026211
370,0.026207
371,0.026235
372,0.026095
373,0.026305
374,0.026131
375,0.026229
376,0.026238
377,0.026122
378,0.026268
379,0.026069
380,0.026220
381,0.026060
382,0.026330
383,0.026153
384,0.026089
385,0.026276
386,0.026225
387,0.026313
388,0.026091
389,0.026293
390,0.026164
391,0.026090
392,0.026296
393,0.026080
394,0.026320
395,0.026071
396,0.026372
397,0.026120
398,0.026148
399,0.026235
400,0.026106
401,0.026336
402,0.026058
403,0.026245
404,0.026137
405,0.026127
406,0.026273
407,0.026114
408,0.026293
409,0.026250
410,0.026222
411,0.026071
412,0.026143
413,0.026236
414,0.026058
415,0.026359
416,0.026046
417,0.026340
418,0.026130
419,0.026051
420,0.026412
421,0.026092
422,0.026413
423,0.025986
424,0.026323
425,0.026129
426,0.026159
427,0.026229
428,0.026135
429,0.026365
430,0.026021
431,0.026289
432,0.026132
433,0.026263
434,0.052246
435,0.026302
436,0.026110
437,0.026413
438,0.051935
439,0.052200
440,0.026335
441,0.103745
442,0.078566
443,0.077968
444,0.077728
445,0.081440
446,0.052599
447,0.052245
448,0.052140
449,0.052341
450,0.052340
451,0.052322
452,0.078378
453,0.077685
454,0.026030
455,0.025910
456,0.051698
457,0.077566
458,0.077679
459,0.077727
460,0.077318
461,0.077426
462,0.077549
463,0.051555
464,0.077440
465,0.051818
466,0.077430
467,0.103348
468,0.103165
469,0.077406
470,0.077614
471,0.077303
472,0.103068
473,0.103172
474,0.077494
475,0.077614
476,0.077431
477,0.077664
478,0.077465
479,0.077866
480,0.025860
481,0.026108
482,0.025970
483,0.077472
484,0.077542
485,0.077353
486,0.077349
487,0.077436
488,0.103151
489,0.077613
490,0.103400
491,0.077455
492,0.077442
493,0.103533
494,0.077342
495,0.103521
496,0.077464
497,0.025961
498,0.077479
499,0.077263
500,0.026025
501,0.077607
502,0.051839
503,0.051787
504,0.026071
505,0.025975
506,0.025895
507,0.026067
508,0.051771
509,0.026140
510,0.026065
511,0.026010
512,0.025969
513,0.026119
514,0.025927
515,0.026053
516,0.025906
517,0.026069
518,0.025929
519,0.025958
520,0.026076
521,0.026095
522,0.026114
523,0.025908
524,0.026045
525,0.026060
526,0.026077
527,0.025974
528,0.026011
529,0.025975
530,0.026009
531,0.025972
532,0.025959
533,0.026027
534,0.025977
535,0.025956
536,0.025964
537,0.026041
538,0.030332
539,0.026613
540,0.025859
541,0.026144
542,0.025917
543,0.025957
544,0.026087
545,0.051857
546,0.026125
547,0.026067
548,0.025990
549,0.026202
550,0.051762
551,0.051926
552,0.026011
553,0.051831
554,0.025840
555,0.052042
556,0.077770
557,0.051912
558,0.077771
559,0.103189
560,0.103336
561,0.077538
562,0.051876
563,0.025954
564,0.025900
565,0.077516
566,0.051652
567,0.051825
