# episode_index, seconds
1,0.001844
2,0.005420
3,0.005274
4,0.003530
5,0.002101
6,0.006877
7,0.011786
8,0.011738
9,0.003551
10,0.001957
11,0.002030
12,0.003557
13,0.002093
14,0.001776
15,0.012489
16,0.002839
17,0.009970
18,0.006686
19,0.002019
20,0.006845
21,0.002018
22,0.008528
23,0.001801
24,0.005270
25,0.002092
26,0.001786
27,0.002214
28,0.008466
29,0.003570
30,0.002025
31,0.002036
32,0.003620
33,0.002075
34,0.008377
35,0.009886
36,0.004508
37,0.004319
38,0.011566
39,0.003564
40,0.002051
41,0.002173
42,0.009997
43,0.006586
44,0.002188
45,0.005985
46,0.092012
47,0.042519
48,0.130469
49,0.042904
50,0.044237
51,0.086697
52,0.044943
53,0.086385
54,0.042605
55,0.086859
56,0.043118
57,0.044314
58,0.043001
59,0.042972
60,0.043051
61,0.044055
62,0.043721
63,0.043294
64,0.043629
65,0.043488
66,0.042966
67,0.042297
68,0.045711
69,0.043139
70,0.043295
71,0.044555
72,0.043375
73,0.042589
74,0.044097
75,0.042088
76,0.043475
77,0.044345
78,0.042701
79,0.042667
80,0.042740
81,0.044169
82,0.043656
83,0.043550
84,0.044186
85,0.043483
86,0.057175
87,0.043495
88,0.046346
89,0.054643
90,0.043781
91,0.042770
92,0.044074
93,0.043494
94,0.042868
95,0.043067
96,0.044541
97,0.043350
98,0.043307
99,0.044608
100,0.043190
101,0.043524
102,0.044003
103,0.043890
104,0.042852
105,0.044207
106,0.042900
107,0.043235
108,0.086614
109,0.046984
110,0.043379
111,0.045699
112,0.217607
113,0.130642
114,0.085578
115,0.129074
116,0.130372
117,0.173940
118,0.174182
119,0.173319
120,0.043380
121,0.042667
122,0.087062
123,0.043073
124,0.087285
125,0.085819
126,0.087038
127,0.043442
128,0.086733
129,0.044326
130,0.085978
131,0.043621
132,0.044472
133,0.043926
134,0.043436
135,0.044073
136,0.087007
137,0.045352
138,0.043184
139,0.043126
140,0.044107
141,0.043916
142,0.043452
143,0.043325
144,0.044395
145,0.043879
146,0.043314
147,0.044107
148,0.043328
149,0.043634
150,0.043334
151,0.045408
152,0.043420
153,0.043337
154,0.043852
155,0.043356
156,0.043566
157,0.043734
158,0.044145
159,0.042906
160,0.043832
161,0.044021
162,0.043245
163,0.044327
164,0.043786
165,0.043144
166,0.044227
167,0.043581
168,0.043099
169,0.044189
170,0.043285
171,0.042854
172,0.045893
173,0.043361
174,0.043928
175,0.044309
176,0.044376
177,0.043305
178,0.046617
179,0.043886
180,0.047177
181,0.044874
182,0.044015
183,0.045607
184,0.046052
185,0.044353
186,0.045289
187,0.044110
188,0.044169
189,0.047436
190,0.077236
191,0.044919
192,0.045317
193,0.046531
194,0.044896
195,0.045181
196,0.045556
197,0.059205
198,0.045077
199,0.044714
200,0.045790
201,0.043893
202,0.044282
203,0.044567
204,0.045245
205,0.044081
206,0.044861
207,0.045025
208,0.045330
209,0.044060
210,0.043717
211,0.044848
212,0.045197
213,0.044052
214,0.044087
215,0.044793
216,0.045623
217,0.044548
218,0.044648
219,0.046298
220,0.044278
221,0.044526
222,0.044960
223,0.045206
224,0.045195
225,0.045005
226,0.044752
227,0.045457
228,0.044555
229,0.044759
230,0.044000
231,0.045159
232,0.044801
233,0.045578
234,0.043899
235,0.045726
236,0.044134
237,0.044865
238,0.044569
239,0.045088
240,0.043757
241,0.043910
242,0.044706
243,0.045528
244,0.044347
245,0.044201
246,0.043431
247,0.046017
248,0.045329
249,0.044730
250,0.045556
251,0.044780
252,0.044968
253,0.044185
254,0.046042
255,0.044096
256,0.044611
257,0.044563
258,0.045394
259,0.044478
260,0.045299
261,0.044043
262,0.046735
263,0.044528
264,0.044602
265,0.045063
266,0.045812
267,0.044297
268,0.044378
269,0.044844
270,0.045360
271,0.044600
272,0.044986
273,0.045057
274,0.046078
275,0.044264
276,0.043796
277,0.044849
278,0.045628
279,0.044367
280,0.044812
281,0.044663
282,0.045837
283,0.043880
284,0.044335
285,0.044151
286,0.044421
287,0.045310
288,0.044638
289,0.044298
290,0.045878
291,0.044068
292,0.044800
293,0.044316
294,0.045372
295,0.044126
296,0.044297
297,0.044762
298,0.043683
299,0.045904
300,0.044853
301,0.044780
302,0.045528
303,0.044518
304,0.044411
305,0.044775
306,0.045918
307,0.044078
308,0.044191
309,0.044422
310,0.045194
311,0.044743
312,0.044487
313,0.044586
314,0.044350
315,0.044170
316,0.044288
317,0.044594
318,0.045696
319,0.044583
320,0.043818
321,0.044523
322,0.056372
323,0.044214
324,0.044696
325,0.045537
326,0.044696
327,0.044361
328,0.044606
329,0.090166
330,0.044672
331,0.088050
332,0.045725
333,0.043654
334,0.043764
335,0.044295
336,0.045435
337,0.044251
338,0.044168
339,0.044187
340,0.043260
341,0.044108
342,0.045641
343,0.044330
344,0.044248
345,0.044257
346,0.045923
347,0.043888
348,0.044016
349,0.045300
350,0.043804
351,0.045712
352,0.045090
353,0.044953
354,0.045728
355,0.044173
356,0.045132
357,0.043731
358,0.045852
359,0.044011
360,0.044032
361,0.044853
362,0.045896
363,0.043958
364,0.044094
365,0.044595
366,0.045364
367,0.044098
368,0.043894
369,0.044277
370,0.044080
371,0.045595
372,0.045541
373,0.044817
374,0.045808
375,0.044033
376,0.044163
377,0.044138
378,0.045709
379,0.042720
380,0.044582
381,0.044293
382,0.045268
383,0.044258
384,0.045035
385,0.043800
386,0.045950
387,0.043998
388,0.044491
389,0.044255
390,0.045634
391,0.044104
392,0.044084
393,0.044850
394,0.045888
395,0.044029
396,0.044693
397,0.050780
398,0.044598
399,0.044100
400,0.045508
401,0.043931
402,0.044290
403,0.044724
404,0.045336
405,0.044829
406,0.044561
407,0.044753
408,0.043560
409,0.045521
410,0.044933
411,0.044399
412,0.043608
413,0.045850
414,0.044564
415,0.044860
416,0.045993
417,0.044335
418,0.043706
419,0.045033
420,0.045826
421,0.044059
422,0.044592
423,0.044811
424,0.035763
425,0.029780
426,0.029887
427,0.029344
428,0.029031
429,0.028734
430,0.028276
431,0.028940
432,0.044705
433,0.045000
434,0.044380
435,0.045134
436,0.045067
437,0.090319
438,0.044938
439,0.045080
440,0.046412
441,0.044147
442,0.044275
443,0.045006
444,0.045767
445,0.044413
446,0.044545
447,0.044556
448,0.045291
449,0.044298
450,0.044129
451,0.087876
452,0.134159
453,0.087664
454,0.134714
455,0.043563
456,0.045584
457,0.133539
458,0.179100
459,0.177782
460,0.177449
461,0.132685
462,0.178733
463,0.178862
464,0.177372
465,0.133166
466,0.089555
467,0.044679
468,0.090369
469,0.089247
470,0.045079
471,0.044920
472,0.043834
473,0.044246
474,0.043514
475,0.045126
476,0.044071
477,0.044658
478,0.044880
479,0.090372
480,0.044843
481,0.044555
482,0.090003
483,0.044974
484,0.044318
485,0.045606
486,0.043843
487,0.044197
488,0.044557
489,0.045437
490,0.044256
491,0.044839
492,0.044772
493,0.045676
494,0.044636
495,0.045400
496,0.043774
497,0.045744
498,0.044060
499,0.044686
500,0.044132
501,0.045476
502,0.043406
503,0.044114
504,0.090168
505,0.043945
506,0.044148
507,0.044980
508,0.045579
509,0.089275
510,0.087893
511,0.045802
512,0.088654
513,0.090405
514,0.045153
515,0.044338
516,0.044613
517,0.090423
518,0.044565
519,0.043945
520,0.090241
521,0.044601
522,0.044887
523,0.045331
524,0.090058
525,0.087723
526,0.045177
527,0.044231
528,0.045673
529,0.043658
530,0.044472
531,0.045935
532,0.044468
533,0.044509
534,0.045787
535,0.044981
536,0.045003
537,0.045026
538,0.045888
539,0.044139
540,0.043912
541,0.044562
542,0.043797
543,0.046191
544,0.090433
545,0.132476
546,0.044599
547,0.134629
548,0.091115
549,0.044158
550,0.044085
551,0.044328
552,0.045141
553,0.044991
554,0.044817
555,0.044532
556,0.046103
557,0.044215
558,0.043956
559,0.044262
560,0.045524
561,0.044460
562,0.044131
563,0.044716
564,0.045518
565,0.044838
566,0.044369
567,0.044529
568,0.089438
569,0.044652
570,0.043921
571,0.045351
572,0.044999
573,0.045192
574,0.043937
575,0.045985
576,0.046293
577,0.052078
578,0.043922
579,0.045601
580,0.044197
581,0.045191
582,0.045769
583,0.046818
584,0.088838
585,0.046386
586,0.044656
587,0.045360
588,0.046013
589,0.044442
590,0.045027
591,0.044001
592,0.045590
593,0.088801
594,0.044974
595,0.045701
596,0.044299
597,0.045254
598,0.043538
599,0.044966
600,0.044951
601,0.045547
602,0.043632
603,0.045371
604,0.043294
605,0.044493
606,0.044395
607,0.045595
608,0.044123
609,0.133336
610,0.075262
611,0.046256
612,0.043707
613,0.044884
614,0.044640
615,0.045495
616,0.044011
617,0.044913
618,0.044697
619,0.044800
620,0.045111
621,0.044653
622,0.044481
623,0.045611
624,0.132271
625,0.044155
626,0.045383
627,0.044344
628,0.044187
629,0.132662
630,0.044068
631,0.044152
632,0.044789
633,0.045090
634,0.044917
635,0.044879
636,0.044312
637,0.045482
638,0.043698
639,0.044912
640,0.044447
641,0.045869
642,0.044074
643,0.043749
644,0.044638
645,0.045291
646,0.044877
647,0.044773
648,0.044801
649,0.046219
650,0.044212
651,0.044341
652,0.044606
653,0.045150
654,0.045136
655,0.044291
656,0.044469
657,0.045950
658,0.043847
659,0.098243
660,0.045796
661,0.044708
662,0.043387
663,0.042342
664,0.043248
665,0.043431
666,0.042716
667,0.044260
668,0.042848
669,0.041776
670,0.042693
671,0.042418
672,0.043876
673,0.042753
674,0.042553
675,0.042791
676,0.042596
677,0.042132
678,0.042644
679,0.043207
680,0.042366
681,0.042529
682,0.127769
683,0.042606
684,0.043526
685,0.042597
686,0.043105
687,0.042750
688,0.042101
689,0.042236
690,0.042936
691,0.042716
692,0.042563
693,0.043207
694,0.042808
695,0.042637
696,0.044220
697,0.043192
698,0.169084
699,0.043476
700,0.042492
701,0.042732
702,0.042404
703,0.042938
704,0.044011
705,0.043308
706,0.127108
707,0.042636
708,0.042630
709,0.043474
710,0.170833
711,0.042612
712,0.043539
713,0.043180
714,0.042588
715,0.042671
716,0.042883
717,0.042475
718,0.042173
719,0.041833
720,0.043407
721,0.043183
722,0.043237
723,0.041551
724,0.042277
725,0.041675
726,0.043603
727,0.042869
728,0.043237
729,0.042659
730,0.042151
731,0.041576
732,0.042318
733,0.044043
734,0.043355
735,0.042433
736,0.043139
737,0.042516
738,0.042129
739,0.042437
740,0.043912
741,0.042833
742,0.042830
743,0.043044
744,0.043339
745,0.042159
746,0.042407
747,0.044086
748,0.042528
749,0.042952
750,0.042832
751,0.042531
752,0.042375
753,0.043798
754,0.042345
755,0.042877
756,0.042707
757,0.042764
758,0.042656
759,0.042318
760,0.042990
761,0.042954
762,0.042603
763,0.043165
764,0.043038
765,0.042596
766,0.042967
767,0.043024
768,0.042988
769,0.042897
770,0.042230
771,0.042258
772,0.043785
773,0.042880
774,0.042863
775,0.042703
776,0.041647
777,0.042592
778,0.042107
779,0.044091
780,0.042766
781,0.042539
782,0.042692
783,0.042051
784,0.044248
785,0.042971
786,0.042790
787,0.043017
788,0.043183
789,0.042591
790,0.085603
791,0.048214
792,0.083392
793,0.128281
794,0.042767
795,0.042321
796,0.042134
797,0.044013
798,0.085011
799,0.042578
800,0.043117
801,0.127526
802,0.170184
803,0.085040
804,0.042441
805,0.086073
806,0.042632
807,0.085580
808,0.042715
809,0.084283
810,0.043697
811,0.042812
812,0.042847
813,0.043381
814,0.043343
815,0.043015
816,0.043707
817,0.042682
818,0.042399
819,0.043157
820,0.043207
821,0.042242
822,0.042194
823,0.043636
824,0.042400
825,0.042864
826,0.042786
827,0.126751
828,0.042038
829,0.043053
830,0.042644
831,0.043025
832,0.042429
833,0.042776
834,0.042297
835,0.041978
836,0.041991
837,0.043896
838,0.042735
839,0.042501
840,0.042929
841,0.042133
842,0.042245
843,0.043270
844,0.042308
845,0.042744
846,0.042498
847,0.041975
848,0.043830
849,0.043002
850,0.042468
851,0.042698
852,0.042815
853,0.042617
854,0.042292
855,0.043294
856,0.085286
857,0.043222
858,0.042952
859,0.041606
860,0.043140
861,0.043040
862,0.085535
863,0.084313
864,0.084087
865,0.084119
866,0.043920
867,0.043158
868,0.127715
869,0.042317
870,0.042202
871,0.042496
872,0.043886
873,0.042719
874,0.042461
875,0.043246
876,0.043362
877,0.042394
878,0.043596
879,0.042399
880,0.042344
881,0.042818
882,0.043192
883,0.042334
884,0.042299
885,0.044286
886,0.042042
887,0.042932
888,0.042673
889,0.042686
890,0.042068
891,0.041997
892,0.042433
893,0.044224
894,0.042909
895,0.042934
896,0.042925
897,0.043125
898,0.041995
899,0.042729
900,0.043792
901,0.042980
902,0.043110
903,0.042385
904,0.042838
905,0.041840
906,0.042161
907,0.043485
908,0.042702
909,0.042769
910,0.041839
911,0.042235
912,0.042515
913,0.046883
914,0.042611
915,0.043082
916,0.042247
917,0.042783
918,0.043396
919,0.042705
920,0.042461
921,0.043202
922,0.042499
923,0.042448
924,0.044118
925,0.042406
926,0.042719
927,0.043285
928,0.042906
929,0.042930
930,0.043763
931,0.042590
932,0.042304
933,0.042539
934,0.042509
935,0.042177
936,0.033939
937,0.027280
938,0.027421
939,0.027317
940,0.027092
941,0.026889
942,0.027018
943,0.026498
944,0.034173
945,0.044705
946,0.044628
947,0.042650
948,0.043870
949,0.043573
950,0.043510
951,0.044259
952,0.043335
953,0.043599
954,0.044691
955,0.043848
956,0.042952
957,0.044410
958,0.043974
959,0.043080
960,0.044623
961,0.043916
962,0.042876
963,0.044211
964,0.043995
965,0.043190
966,0.044477
967,0.043644
968,0.043657
969,0.044824
970,0.043271
971,0.042581
972,0.044570
973,0.043572
974,0.043544
975,0.044136
976,0.043852
977,0.044008
978,0.044290
979,0.042862
980,0.043180
981,0.044182
982,0.131118
983,0.130382
984,0.130280
985,0.130117
986,0.133428
987,0.133404
988,0.043762
989,0.175546
990,0.132317
991,0.044795
992,0.043588
993,0.043385
994,0.043669
995,0.090137
996,0.075598
997,0.043987
998,0.046565
999,0.045864
1000,0.043305
1001,0.043539
1002,0.044231
1003,0.043779
1004,0.044133
1005,0.044061
1006,0.044011
1007,0.043526
1008,0.044225
1009,0.044191
1010,0.058648
1011,0.044507
1012,0.043372
1013,0.043608
1014,0.043502
1015,0.043803
1016,0.043709
1017,0.043863
1018,0.042551
1019,0.044661
1020,0.043455
1021,0.042938
1022,0.044551
1023,0.043709
1024,0.043488
1025,0.044417
1026,0.043681
1027,0.042983
1028,0.043209
1029,0.044802
1030,0.043732
1031,0.042002
1032,0.044346
1033,0.043698
1034,0.043691
1035,0.044300
1036,0.043815
1037,0.043586
1038,0.044587
1039,0.043535
1040,0.044276
1041,0.044510
1042,0.043354
1043,0.042671
1044,0.043068
1045,0.044502
1046,0.043310
1047,0.043100
1048,0.044093
1049,0.044655
1050,0.042642
1051,0.043151
1052,0.044040
1053,0.043657
1054,0.043355
1055,0.044230
1056,0.043321
1057,0.042735
1058,0.043050
1059,0.087371
1060,0.043669
1061,0.043033
1062,0.045261
1063,0.074212
1064,0.043065
1065,0.043862
1066,0.043156
1067,0.044442
1068,0.043908
1069,0.043966
1070,0.044363
1071,0.043652
1072,0.043202
1073,0.044492
1074,0.043996
1075,0.043266
1076,0.044560
1077,0.044063
1078,0.087765
1079,0.043939
1080,0.130330
1081,0.234110
1082,0.129849
1083,0.130579
1084,0.128341
1085,0.130178
1086,0.130532
1087,0.128727
1088,0.177461
1089,0.131147
1090,0.043322
1091,0.087978
1092,0.086999
1093,0.087423
1094,0.043482
1095,0.044311
1096,0.058264
1097,0.043298
1098,0.043253
1099,0.044048
1100,0.043727
1101,0.043100
1102,0.043854
1103,0.043326
1104,0.043423
1105,0.044855
1106,0.043398
1107,0.043555
1108,0.044284
1109,0.043750
1110,0.043064
1111,0.043638
1112,0.042710
1113,0.043188
1114,0.042579
1115,0.044183
1116,0.044092
1117,0.042597
1118,0.044387
1119,0.043413
1120,0.043235
1121,0.043958
1122,0.043236
1123,0.042790
1124,0.043876
1125,0.044006
1126,0.043140
1127,0.043803
1128,0.043234
1129,0.043220
1130,0.043035
1131,0.043967
1132,0.043779
1133,0.043072
1134,0.043327
1135,0.043726
1136,0.043411
1137,0.043742
1138,0.043346
1139,0.043941
1140,0.043685
1141,0.043681
1142,0.043169
1143,0.043865
1144,0.043599
1145,0.043314
1146,0.044513
1147,0.044058
1148,0.042692
1149,0.044042
1150,0.043955
1151,0.043049
1152,0.044618
1153,0.043549
1154,0.042883
1155,0.044557
1156,0.043394
1157,0.043307
1158,0.043838
1159,0.043054
1160,0.043292
1161,0.044829
1162,0.043548
1163,0.043229
1164,0.044114
1165,0.043505
1166,0.043088
1167,0.044318
1168,0.043351
1169,0.043422
1170,0.044283
1171,0.042847
1172,0.042941
1173,0.043199
1174,0.044021
1175,0.043501
1176,0.043376
1177,0.044126
1178,0.043905
1179,0.042998
1180,0.044219
1181,0.044157
1182,0.042659
1183,0.043910
1184,0.042961
1185,0.042940
1186,0.043451
1187,0.044034
1188,0.042850
1189,0.043576
1190,0.044059
1191,0.044045
1192,0.043384
1193,0.044215
1194,0.043637
1195,0.043710
1196,0.075696
1197,0.044258
1198,0.044012
1199,0.042209
1200,0.087195
1201,0.043118
1202,0.044242
1203,0.131168
1204,0.130718
1205,0.101659
1206,0.086964
1207,0.087097
1208,0.130480
1209,0.129460
1210,0.129738
1211,0.129112
1212,0.129678
1213,0.043481
1214,0.086430
1215,0.043445
1216,0.042870
1217,0.130657
1218,0.087674
1219,0.043101
1220,0.044121
1221,0.085440
1222,0.043219
1223,0.044103
1224,0.043537
1225,0.043115
1226,0.044232
1227,0.044026
1228,0.043390
1229,0.044336
1230,0.043514
1231,0.042737
1232,0.042991
1233,0.044073
1234,0.044228
1235,0.043600
1236,0.044367
1237,0.044356
1238,0.042886
1239,0.044244
1240,0.043442
1241,0.043197
1242,0.043844
1243,0.043843
1244,0.043317
1245,0.044569
1246,0.043858
1247,0.043360
1248,0.044333
1249,0.043998
1250,0.043097
1251,0.043887
1252,0.043625
1253,0.043528
1254,0.043746
1255,0.043640
1256,0.042945
1257,0.043077
1258,0.037692
1259,0.030813
1260,0.044591
1261,0.043446
1262,0.043046
1263,0.044994
1264,0.044449
1265,0.043327
1266,0.043977
1267,0.043893
1268,0.043244
1269,0.044172
1270,0.043747
1271,0.043169
1272,0.044210
1273,0.043542
1274,0.043334
1275,0.044449
1276,0.043988
1277,0.043150
1278,0.044097
1279,0.043537
1280,0.043264
1281,0.044163
1282,0.046714
1283,0.044439
1284,0.043203
1285,0.043552
1286,0.043338
1287,0.044265
1288,0.043146
1289,0.042994
1290,0.044759
1291,0.043056
1292,0.043106
1293,0.044053
1294,0.044436
1295,0.044026
1296,0.043173
1297,0.044348
1298,0.043489
1299,0.043005
1300,0.042845
1301,0.045770
1302,0.075171
1303,0.043439
1304,0.044428
1305,0.043242
1306,0.044266
1307,0.043122
1308,0.044589
1309,0.043630
1310,0.043084
1311,0.044347
1312,0.043668
1313,0.043319
1314,0.044358
1315,0.043538
1316,0.042952
1317,0.043129
1318,0.044037
1319,0.044057
1320,0.043487
1321,0.044491
1322,0.043968
1323,0.043132
1324,0.044315
1325,0.043464
1326,0.043407
1327,0.044451
1328,0.043656
1329,0.043356
1330,0.043911
1331,0.043851
1332,0.043400
1333,0.043228
1334,0.044188
1335,0.043566
1336,0.043866
1337,0.044755
1338,0.043460
1339,0.043362
1340,0.044286
1341,0.043214
1342,0.043412
1343,0.043747
1344,0.044547
1345,0.043009
1346,0.043249
1347,0.044166
1348,0.043980
1349,0.043726
1350,0.044369
1351,0.043220
1352,0.043512
1353,0.044212
1354,0.129443
1355,0.044131
1356,0.043673
1357,0.043976
1358,0.044208
1359,0.043812
1360,0.043385
1361,0.044234
1362,0.129420
1363,0.044594
1364,0.043953
1365,0.043380
1366,0.044316
1367,0.043149
1368,0.043471
1369,0.043052
1370,0.044496
1371,0.042646
1372,0.043685
1373,0.044565
1374,0.043322
1375,0.042664
1376,0.042371
1377,0.042769
1378,0.045915
1379,0.043971
1380,0.043927
1381,0.043980
1382,0.043328
1383,0.043246
1384,0.043233
1385,0.042509
1386,0.045454
1387,0.042988
1388,0.043079
1389,0.044200
1390,0.043527
1391,0.042720
1392,0.042903
1393,0.044011
1394,0.043137
1395,0.042958
1396,0.043160
1397,0.043805
1398,0.042729
1399,0.044078
1400,0.042871
1401,0.044703
1402,0.044033
1403,0.043074
1404,0.044313
1405,0.044060
1406,0.043230
1407,0.044447
1408,0.043834
1409,0.043111
1410,0.044607
1411,0.043933
1412,0.057447
1413,0.043411
1414,0.042388
1415,0.043027
1416,0.044201
1417,0.043594
1418,0.043004
1419,0.128254
1420,0.128789
1421,0.128740
1422,0.127539
1423,0.128338
1424,0.127493
1425,0.086909
1426,0.126685
1427,0.043666
1428,0.127317
1429,0.026616
1430,0.027167
1431,0.053755
1432,0.052730
1433,0.026477
1434,0.026207
1435,0.083726
1436,0.043545
1437,0.043076
1438,0.043962
1439,0.042646
1440,0.042915
