# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,209.989635,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
2,209.992108,['1_train', '1_test'],[1.0, -0.05277471989393234, -0.05277471989393234, 0.9999998807907104]
3,209.994895,['1_train', '1_test'],[1.0, -0.05105186253786087, -0.05105186253786087, 1.0000001192092896]
4,209.998760,['1_train', '1_test'],[1.0, -0.05230673775076866, -0.05230673775076866, 1.0]
5,210.006125,['1_train', '1_test'],[1.0, -0.05235506594181061, -0.05235506594181061, 0.9999998211860657]
6,210.008931,['1_train', '1_test'],[1.0, -0.05178329721093178, -0.05178329721093178, 1.000000238418579]
7,210.010367,['1_train', '1_test'],[1.0, -0.049287546426057816, -0.049287546426057816, 0.9999999403953552]
8,210.012069,['1_train', '1_test'],[1.0, -0.048640698194503784, -0.048640698194503784, 0.9999999403953552]
9,210.015864,['1_train', '1_test'],[1.0, -0.049625106155872345, -0.049625106155872345, 1.0]
10,210.021606,['1_train', '1_test'],[1.0, -0.048127204179763794, -0.048127204179763794, 0.9999998807907104]
11,210.027621,['1_train', '1_test'],[1.0, -0.04981077089905739, -0.04981077089905739, 1.0]
12,210.029146,['1_train', '1_test'],[1.0, -0.05128756910562515, -0.05128756910562515, 1.0]
13,210.030546,['1_train', '1_test'],[1.0, -0.04891572520136833, -0.04891572520136833, 1.000000238418579]
14,210.033078,['1_train', '1_test'],[1.0, -0.05023343861103058, -0.05023343861103058, 1.000000238418579]
15,210.041930,['1_train', '1_test'],[1.0, -0.05098826438188553, -0.05098826438188553, 1.0]
16,210.050344,['1_train', '1_test'],[1.0, -0.05083058401942253, -0.05083058401942253, 1.0]
17,210.052844,['1_train', '1_test'],[1.0, -0.05246078222990036, -0.05246078222990036, 1.0000001192092896]
18,210.054178,['1_train', '1_test'],[1.0, -0.0513778030872345, -0.0513778030872345, 1.0000003576278687]
19,210.056804,['1_train', '1_test'],[1.0, -0.050836220383644104, -0.050836220383644104, 0.9999998807907104]
20,210.058317,['1_train', '1_test'],[1.0, -0.049680475145578384, -0.049680475145578384, 1.0]
21,210.059823,['1_train', '1_test'],[1.0, -0.05036190152168274, -0.05036190152168274, 1.0000001192092896]
22,210.061252,['1_train', '1_test'],[1.0, -0.04865166172385216, -0.04865166172385216, 1.0000001192092896]
23,210.063614,['1_train', '1_test'],[1.0, -0.04950550198554993, -0.04950550198554993, 0.9999998211860657]
24,210.065129,['1_train', '1_test'],[1.0, -0.051322463899850845, -0.051322463899850845, 1.0]
25,210.067901,['1_train', '1_test'],[1.0, -0.05133930221199989, -0.05133930221199989, 0.9999998807907104]
26,210.075689,['1_train', '1_test'],[1.0, -0.04796648398041725, -0.04796648398041725, 1.0]
27,210.079463,['1_train', '1_test'],[1.0, -0.04702324792742729, -0.04702324792742729, 1.0]
28,210.085182,['1_train', '1_test'],[1.0, -0.049672238528728485, -0.049672238528728485, 1.0]
29,210.086697,['1_train', '1_test'],[1.0, -0.050202373415231705, -0.050202373415231705, 1.0000001192092896]
30,210.091522,['1_train', '1_test'],[1.0, -0.051071494817733765, -0.051071494817733765, 1.0000001192092896]
31,210.096344,['1_train', '1_test'],[1.0, -0.05209328979253769, -0.05209328979253769, 1.0000001192092896]
