# episode_index, seconds
1,0.003654
2,0.007245
3,0.008112
4,0.007222
5,0.009757
6,0.005457
7,0.013483
8,0.005452
9,0.008175
10,0.008836
11,0.014547
12,0.010289
13,0.007255
14,0.014190
15,0.011072
16,0.005309
17,0.013500
18,0.012769
19,0.008379
20,0.013083
21,0.012043
22,0.001725
23,0.005017
24,0.005741
25,0.014661
26,0.149665
27,0.152722
28,0.198859
29,0.154597
30,0.099599
31,0.152963
32,0.050777
33,0.101290
34,0.100262
35,0.052001
36,0.102409
37,0.098548
38,0.050713
39,0.052278
40,0.050841
41,0.053345
42,0.029260
43,0.034718
44,0.051620
45,0.045728
46,0.045699
47,0.045622
48,0.046130
49,0.089975
50,0.088176
51,0.085911
52,0.086918
53,0.089089
54,0.044801
55,0.045194
56,0.089738
57,0.045993
58,0.045774
59,0.096677
60,0.046866
61,0.045944
62,0.046377
63,0.048920
64,0.050916
65,0.052387
66,0.100910
67,0.051750
68,0.051404
69,0.052035
70,0.051464
71,0.050812
72,0.101916
73,0.050317
74,0.051876
75,0.051942
76,0.050938
77,0.052633
78,0.051078
79,0.100853
80,0.051731
81,0.099917
82,0.049861
83,0.097006
84,0.051052
85,0.049343
86,0.051977
87,0.050823
88,0.050570
89,0.051679
90,0.050915
91,0.052085
92,0.049116
93,0.101907
94,0.051352
95,0.051422
96,0.052197
97,0.102781
98,0.102984
99,0.050769
100,0.050967
101,0.050557
102,0.050009
103,0.051101
104,0.049696
105,0.051522
106,0.050796
107,0.051997
108,0.051188
109,0.052113
110,0.051142
111,0.052324
112,0.051668
113,0.051304
114,0.052338
115,0.051547
116,0.051577
117,0.051487
118,0.052512
119,0.052827
120,0.051229
121,0.052476
122,0.052562
123,0.052145
124,0.051616
125,0.051496
126,0.051673
127,0.051435
128,0.050556
129,0.052015
130,0.052116
131,0.051891
132,0.052152
133,0.052848
134,0.051866
135,0.051946
136,0.052592
137,0.051823
138,0.052096
139,0.051557
140,0.052306
141,0.052831
142,0.052536
143,0.052284
144,0.052461
145,0.052575
146,0.100766
147,0.052688
148,0.050953
149,0.051243
150,0.049582
151,0.049951
152,0.048983
153,0.052770
154,0.050914
155,0.048951
156,0.051126
157,0.050489
158,0.051807
159,0.049718
160,0.052316
161,0.050692
162,0.052097
163,0.052104
164,0.050826
165,0.051389
166,0.051380
167,0.052700
168,0.052299
169,0.051663
170,0.051722
171,0.050225
172,0.052374
173,0.097433
174,0.051916
175,0.103157
176,0.052257
177,0.049930
178,0.097467
179,0.052580
180,0.099951
181,0.100841
182,0.104204
183,0.101607
184,0.101398
185,0.153520
186,0.063514
187,0.096262
188,0.049259
189,0.096337
190,0.096608
191,0.096289
192,0.098711
193,0.097316
194,0.097559
195,0.096083
196,0.095830
197,0.098190
198,0.049107
199,0.097798
200,0.094290
201,0.095819
202,0.096867
203,0.049307
204,0.049506
205,0.049980
206,0.049342
207,0.049209
208,0.048491
209,0.048869
210,0.048981
211,0.049230
212,0.049188
213,0.048788
214,0.049186
215,0.048184
216,0.048655
217,0.049438
218,0.048627
219,0.049337
220,0.049014
221,0.048527
222,0.048560
223,0.048273
224,0.049706
225,0.045134
226,0.048623
227,0.048295
228,0.048942
229,0.048820
230,0.049402
231,0.048768
232,0.049567
233,0.048977
234,0.048748
235,0.049272
236,0.045476
237,0.048472
238,0.048965
239,0.048967
240,0.048898
241,0.048582
242,0.049191
243,0.049182
244,0.049295
245,0.048873
246,0.049093
247,0.049542
248,0.048860
249,0.049188
250,0.048958
251,0.048344
252,0.049076
253,0.049419
254,0.049367
255,0.048837
256,0.049347
257,0.048884
258,0.048886
259,0.048377
