# episode_index, seconds
1,0.003988
2,0.024159
3,0.006147
4,0.004132
5,0.027102
6,0.005434
7,0.002828
8,0.142711
9,0.211792
10,0.079353
11,0.079662
12,0.079853
13,0.106676
14,0.079680
15,0.053175
16,0.079822
17,0.079900
18,0.053340
19,0.053234
20,0.053272
21,0.079481
22,0.676951
23,0.053383
24,0.106229
25,0.026959
26,0.026839
27,0.106395
28,0.026809
29,0.080099
30,0.106952
31,0.106842
32,0.053408
33,0.079969
34,0.106670
35,0.026813
36,0.053582
37,0.080034
38,0.053681
39,0.053479
40,0.053315
41,0.079927
42,0.079836
43,0.130826
44,0.079819
45,0.079654
46,0.053216
47,0.053255
48,0.053168
49,0.053232
50,0.026723
51,0.106480
52,0.079645
53,0.053304
54,0.053369
55,0.053473
56,0.053230
57,0.063295
58,0.055735
59,0.053233
60,0.026960
61,0.080017
62,0.079720
63,0.066773
64,0.063936
65,0.026639
66,0.053290
67,0.053109
68,0.053269
69,0.053347
70,0.052990
71,0.079679
72,0.053248
73,0.053273
74,0.053351
75,0.053130
76,0.053124
77,0.053297
78,0.026683
79,0.053226
80,0.053344
81,0.060618
82,0.053480
83,0.054602
84,0.053325
85,0.026781
86,0.053136
87,0.053505
88,0.053253
89,0.026744
90,0.053410
91,0.053259
92,0.053106
93,0.053275
94,0.053290
95,0.053237
96,0.053387
97,0.053397
98,0.027241
99,0.053508
100,0.053223
101,0.053399
102,0.053118
103,0.026861
104,0.053345
105,0.053421
106,0.053413
107,0.053274
108,0.053521
109,0.026770
110,0.053289
111,0.053375
112,0.053397
113,0.080183
114,0.053236
115,0.079859
116,0.053570
117,0.080061
118,0.053245
119,0.053513
120,0.053298
121,0.053371
122,0.079809
123,0.079732
124,0.053234
125,0.053381
126,0.053240
127,0.053363
128,0.079869
129,0.026820
130,0.079890
131,0.080234
132,0.080070
133,0.079832
134,0.053340
135,0.079891
136,0.079873
137,0.106345
138,0.105909
139,0.079861
140,0.079784
141,0.106747
142,0.053413
143,0.080168
144,0.026953
145,0.053507
146,0.053309
147,0.053355
148,0.053302
149,0.026835
150,0.026886
151,0.053383
152,0.053407
153,0.055616
154,0.053695
155,0.026685
